# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 6K of event 'cpu_core/cycles/u'
# Event count (approx.): 22873057297
#
# Children      Self  Symbol                                                                                                                                                                                                                                                                                                                                          IPC   [IPC Coverage]
# ........  ........  ..............................................................................................................................................................................................................................................................................................................................................  ....................
#
    97.68%     0.00%  [.] 0xffffffffffffffff                                                                                                                                                                                                                                                                                                                          -      -            
    85.04%     0.40%  [.] _RNvMs_NtCsgHgHTXaw02S_17chr_direct_choice6demandNtB4_3Run4tick                                                                                                                                                                                                                                                                             -      -            
    84.02%     0.03%  [.] _RNvMs_NtNtCs8IslNjYkvvZ_20continuing_lifecycle4gate7runtimeNtB4_7Running4tick                                                                                                                                                                                                                                                              -      -            
    75.81%     0.05%  [.] _RNvNtCs8IslNjYkvvZ_20continuing_lifecycle4gate3run                                                                                                                                                                                                                                                                                         -      -            
    59.09%    59.09%  [.] _RINvNtNtCsgHgHTXaw02S_17chr_direct_choice6demand7context6lookupjbEB6_                                                                                                                                                                                                                                                                      -      -            
    35.49%     7.41%  [.] _RNvNvMs_NtCsgHgHTXaw02S_17chr_direct_choice6demandNtB6_3Run13finite_result5visit                                                                                                                                                                                                                                                           -      -            
    32.51%     4.51%  [.] _RNvMs_NtCsgHgHTXaw02S_17chr_direct_choice6demandNtB4_3Run5force                                                                                                                                                                                                                                                                            -      -            
    23.55%     0.25%  [.] _RNvMs_NtCsgHgHTXaw02S_17chr_direct_choice6demandNtB4_3Run13finite_result                                                                                                                                                                                                                                                                   -      -            
    17.63%    17.63%  [.] _RINvNtNtCsgHgHTXaw02S_17chr_direct_choice6demand7context8includesjbEB6_                                                                                                                                                                                                                                                                    -      -            
     2.38%     0.90%  [.] _RNvMsi_NtNtNtCscdodAO9FK5_5alloc11collections5btree3mapINtB5_8BTreeMapjNtNtB7_7set_val9SetValZSTE6insertCsgHgHTXaw02S_17chr_direct_choice                                                                                                                                                                                                  -      -            
     1.45%     0.71%  [.] _RINvMsN_NtNtNtCscdodAO9FK5_5alloc11collections5btree4nodeINtB6_6HandleINtB6_7NodeRefNtNtB6_6marker3MutjNtNtB8_7set_val9SetValZSTNtB1m_4LeafENtB1m_4EdgeE16insert_recursingNtNtBc_5alloc6GlobalNCNvMs4_NtNtB8_3map5entryINtB3a_11VacantEntryjB1D_E12insert_entry0ECsgHgHTXaw02S_17chr_direct_choice                                         -      -            
     1.20%     0.82%  [.] _RNvXs9_NtCsgHgHTXaw02S_17chr_direct_choice6demandNtB5_4NodeNtNtCs4NRVxsYgnAr_4core5clone5Clone5clone                                                                                                                                                                                                                                       -      -            
     1.17%     0.64%  [.] _RNvMs4_NtNtNtNtCscdodAO9FK5_5alloc11collections5btree3map5entryINtB5_11VacantEntryjjE12insert_entryCsgHgHTXaw02S_17chr_direct_choice                                                                                                                                                                                                       -      -            
     1.04%     0.00%  [.] _RINvNtNtCs2AWtUsOyxgP_3std3sys9backtrace28___rust_begin_short_backtraceFEuuECs8IslNjYkvvZ_20continuing_lifecycle                                                                                                                                                                                                                           -      -            
     1.04%     0.00%  [.] _RNCINvNtCs2AWtUsOyxgP_3std2rt10lang_startuE0Cs8IslNjYkvvZ_20continuing_lifecycle                                                                                                                                                                                                                                                           -      -            
     1.04%     0.00%  [.] _RNvNtCs2AWtUsOyxgP_3std2rt19lang_start_internal                                                                                                                                                                                                                                                                                            -      -            
     1.04%     0.00%  [.] main                                                                                                                                                                                                                                                                                                                                        -      -            
     0.98%     0.54%  [.] _RINvNvXs0_NtNtNtCscdodAO9FK5_5alloc11collections5btree3mapINtB8_8BTreeMappppENtNtCs4NRVxsYgnAr_4core5clone5Clone5clone13clone_subtreejbNtNtBe_5alloc6GlobalECsgHgHTXaw02S_17chr_direct_choice.llvm.15381620640532348289                                                                                                                    -      -            
     0.92%     0.04%  [.] _RINvMs_NtCsgHgHTXaw02S_17chr_direct_choice6demandNtB5_3Run11expand_planNtCs5PyYPRahy7j_10chr_syntax4TermNvB2_4termEB7_                                                                                                                                                                                                                     -      -            
     0.92%     0.51%  [.] malloc                                                                                                                                                                                                                                                                                                                                      -      -            
     0.87%     0.05%  [.] _RNvMs4_NtCscdodAO9FK5_5alloc7raw_vecNtB5_11RawVecInner11finish_growCsgHgHTXaw02S_17chr_direct_choice.llvm.12676096581134963221                                                                                                                                                                                                             -      -            
     0.86%     0.00%  [.] _start                                                                                                                                                                                                                                                                                                                                      -      -            
     0.85%     0.05%  [.] _RNvMs3_NtCscdodAO9FK5_5alloc7raw_vecINtB5_6RawVecNtCs5PyYPRahy7j_10chr_syntax3VarE8grow_oneCsgHgHTXaw02S_17chr_direct_choice                                                                                                                                                                                                               -      -            
     0.83%     0.32%  [.] cfree                                                                                                                                                                                                                                                                                                                                       -      -            
     0.62%     0.00%  [.] __libc_start_main                                                                                                                                                                                                                                                                                                                           -      -            
     0.58%     0.05%  [.] realloc                                                                                                                                                                                                                                                                                                                                     -      -            
     0.52%     0.39%  [.] _RINvMsN_NtNtNtCscdodAO9FK5_5alloc11collections5btree4nodeINtB6_6HandleINtB6_7NodeRefNtNtB6_6marker3MutNtCs5PyYPRahy7j_10chr_syntax3VarNtCsgHgHTXaw02S_17chr_direct_choice6NodeIdNtB1m_4LeafENtB1m_4EdgeE16insert_recursingNtNtBc_5alloc6GlobalNCNvMs4_NtNtB8_3map5entryINtB3W_11VacantEntryB1C_B28_E12insert_entry0EB2a_                   -      -            


#
# (Cannot load tips.txt file, please install perf!)
#
