# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 6K of event 'cpu_core/cycles/u'
# Event count (approx.): 22873057297
#
# Overhead  Symbol                                                                                                                                                                                                                                                                                                                         IPC   [IPC Coverage]
# ........  .............................................................................................................................................................................................................................................................................................................................  ....................
#
    59.09%  [.] _RINvNtNtCsgHgHTXaw02S_17chr_direct_choice6demand7context6lookupjbEB6_                                                                                                                                                                                                                                                     -      -            
    17.63%  [.] _RINvNtNtCsgHgHTXaw02S_17chr_direct_choice6demand7context8includesjbEB6_                                                                                                                                                                                                                                                   -      -            
     7.41%  [.] _RNvNvMs_NtCsgHgHTXaw02S_17chr_direct_choice6demandNtB6_3Run13finite_result5visit                                                                                                                                                                                                                                          -      -            
     4.51%  [.] _RNvMs_NtCsgHgHTXaw02S_17chr_direct_choice6demandNtB4_3Run5force                                                                                                                                                                                                                                                           -      -            
     0.90%  [.] _RNvMsi_NtNtNtCscdodAO9FK5_5alloc11collections5btree3mapINtB5_8BTreeMapjNtNtB7_7set_val9SetValZSTE6insertCsgHgHTXaw02S_17chr_direct_choice                                                                                                                                                                                 -      -            
     0.82%  [.] _RNvXs9_NtCsgHgHTXaw02S_17chr_direct_choice6demandNtB5_4NodeNtNtCs4NRVxsYgnAr_4core5clone5Clone5clone                                                                                                                                                                                                                      -      -            
     0.71%  [.] _RINvMsN_NtNtNtCscdodAO9FK5_5alloc11collections5btree4nodeINtB6_6HandleINtB6_7NodeRefNtNtB6_6marker3MutjNtNtB8_7set_val9SetValZSTNtB1m_4LeafENtB1m_4EdgeE16insert_recursingNtNtBc_5alloc6GlobalNCNvMs4_NtNtB8_3map5entryINtB3a_11VacantEntryjB1D_E12insert_entry0ECsgHgHTXaw02S_17chr_direct_choice                        -      -            
     0.64%  [.] _RNvMs4_NtNtNtNtCscdodAO9FK5_5alloc11collections5btree3map5entryINtB5_11VacantEntryjjE12insert_entryCsgHgHTXaw02S_17chr_direct_choice                                                                                                                                                                                      -      -            
     0.62%  [.] malloc                                                                                                                                                                                                                                                                                                                     -      -            
     0.54%  [.] _RINvNvXs0_NtNtNtCscdodAO9FK5_5alloc11collections5btree3mapINtB8_8BTreeMappppENtNtCs4NRVxsYgnAr_4core5clone5Clone5clone13clone_subtreejbNtNtBe_5alloc6GlobalECsgHgHTXaw02S_17chr_direct_choice.llvm.15381620640532348289                                                                                                   -      -            


#
# (Cannot load tips.txt file, please install perf!)
#
