# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cpu_core/cycles/u'
# Event count (approx.): 4629849000
#
# Children      Self  Symbol                                                                                                                                                                                                                                                                                                                                          IPC   [IPC Coverage]
# ........  ........  ..............................................................................................................................................................................................................................................................................................................................................  ....................
#
    83.20%     0.00%  [.] 0xffffffffffffffff                                                                                                                                                                                                                                                                                                                          -      -            
    75.50%     1.04%  [.] _RNvMs_NtCsgHgHTXaw02S_17chr_direct_choice6demandNtB4_3Run4tick                                                                                                                                                                                                                                                                             -      -            
    74.29%     0.24%  [.] _RNvMs_NtNtCs8IslNjYkvvZ_20continuing_lifecycle4gate7runtimeNtB4_7Running4tick                                                                                                                                                                                                                                                              -      -            
    68.09%     0.47%  [.] _RNvNtCs8IslNjYkvvZ_20continuing_lifecycle4gate3run                                                                                                                                                                                                                                                                                         -      -            
    35.19%    21.31%  [.] _RNvNvMs_NtCsgHgHTXaw02S_17chr_direct_choice6demandNtB6_3Run13finite_result5visit                                                                                                                                                                                                                                                           -      -            
    34.34%     0.08%  [.] _RNvMs_NtCsgHgHTXaw02S_17chr_direct_choice6demandNtB4_3Run13finite_result                                                                                                                                                                                                                                                                   -      -            
    24.40%     9.54%  [.] _RNvMs_NtCsgHgHTXaw02S_17chr_direct_choice6demandNtB4_3Run5force                                                                                                                                                                                                                                                                            -      -            
    10.42%    10.42%  [.] _RINvNtNtCsgHgHTXaw02S_17chr_direct_choice6demand7context8includesjbEB6_                                                                                                                                                                                                                                                                    -      -            
     9.35%     6.55%  [.] _RNvMsi_NtNtNtCscdodAO9FK5_5alloc11collections5btree3mapINtB5_8BTreeMapjNtNtB7_7set_val9SetValZSTE6insertCsgHgHTXaw02S_17chr_direct_choice                                                                                                                                                                                                  -      -            
     8.18%     0.24%  [.] _RINvMs_NtCsgHgHTXaw02S_17chr_direct_choice6demandNtB5_3Run11expand_planINtNtCscdodAO9FK5_5alloc2rc2RcNtNtB5_9templates8ExprNodeENCNvB2_15expand_template0EB7_                                                                                                                                                                              -      -            
     6.28%     0.00%  [.] _RNvNtCs2AWtUsOyxgP_3std2rt19lang_start_internal                                                                                                                                                                                                                                                                                            -      -            
     6.28%     0.00%  [.] main                                                                                                                                                                                                                                                                                                                                        -      -            
     6.20%     0.00%  [.] _RINvNtNtCs2AWtUsOyxgP_3std3sys9backtrace28___rust_begin_short_backtraceFEuuECs8IslNjYkvvZ_20continuing_lifecycle                                                                                                                                                                                                                           -      -            
     6.20%     0.00%  [.] _RNCINvNtCs2AWtUsOyxgP_3std2rt10lang_startuE0Cs8IslNjYkvvZ_20continuing_lifecycle                                                                                                                                                                                                                                                           -      -            
     6.16%     3.98%  [.] _RNvMs4_NtNtNtNtCscdodAO9FK5_5alloc11collections5btree3map5entryINtB5_11VacantEntryjjE12insert_entryCsgHgHTXaw02S_17chr_direct_choice                                                                                                                                                                                                       -      -            
     5.65%     5.65%  [.] _RINvNtNtCsgHgHTXaw02S_17chr_direct_choice6demand7context6lookupjbEB6_                                                                                                                                                                                                                                                                      -      -            
     5.15%     3.67%  [.] _RNvXNtNtNtCscdodAO9FK5_5alloc11collections5btree3mapINtB2_8BTreeMapNtCsgHgHTXaw02S_17chr_direct_choice5LabelbENtNtNtCs4NRVxsYgnAr_4core3ops4drop4Drop4dropB15_                                                                                                                                                                             -      -            
     5.05%     4.09%  [.] _RINvNvXs0_NtNtNtCscdodAO9FK5_5alloc11collections5btree3mapINtB8_8BTreeMappppENtNtCs4NRVxsYgnAr_4core5clone5Clone5clone13clone_subtreejbNtNtBe_5alloc6GlobalECsgHgHTXaw02S_17chr_direct_choice.llvm.15381620640532348289                                                                                                                    -      -            
     4.83%     0.00%  [.] _start                                                                                                                                                                                                                                                                                                                                      -      -            
     3.68%     1.63%  [.] cfree                                                                                                                                                                                                                                                                                                                                       -      -            
     3.59%     0.24%  [.] _RNvMs3_NtCscdodAO9FK5_5alloc7raw_vecINtB5_6RawVecNtCs5PyYPRahy7j_10chr_syntax3VarE8grow_oneCsgHgHTXaw02S_17chr_direct_choice                                                                                                                                                                                                               -      -            
     3.52%     0.00%  [.] __libc_start_main                                                                                                                                                                                                                                                                                                                           -      -            
