# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cpu_core/cycles/u'
# Event count (approx.): 4629849000
#
# Overhead  Symbol                                                                                                                                                                                                                                                                                                                         IPC   [IPC Coverage]
# ........  .............................................................................................................................................................................................................................................................................................................................  ....................
#
    21.31%  [.] _RNvNvMs_NtCsgHgHTXaw02S_17chr_direct_choice6demandNtB6_3Run13finite_result5visit                                                                                                                                                                                                                                          -      -            
    10.42%  [.] _RINvNtNtCsgHgHTXaw02S_17chr_direct_choice6demand7context8includesjbEB6_                                                                                                                                                                                                                                                   -      -            
     9.54%  [.] _RNvMs_NtCsgHgHTXaw02S_17chr_direct_choice6demandNtB4_3Run5force                                                                                                                                                                                                                                                           -      -            
     6.55%  [.] _RNvMsi_NtNtNtCscdodAO9FK5_5alloc11collections5btree3mapINtB5_8BTreeMapjNtNtB7_7set_val9SetValZSTE6insertCsgHgHTXaw02S_17chr_direct_choice                                                                                                                                                                                 -      -            
     5.65%  [.] _RINvNtNtCsgHgHTXaw02S_17chr_direct_choice6demand7context6lookupjbEB6_                                                                                                                                                                                                                                                     -      -            
     4.09%  [.] _RINvNvXs0_NtNtNtCscdodAO9FK5_5alloc11collections5btree3mapINtB8_8BTreeMappppENtNtCs4NRVxsYgnAr_4core5clone5Clone5clone13clone_subtreejbNtNtBe_5alloc6GlobalECsgHgHTXaw02S_17chr_direct_choice.llvm.15381620640532348289                                                                                                   -      -            
     3.98%  [.] _RNvMs4_NtNtNtNtCscdodAO9FK5_5alloc11collections5btree3map5entryINtB5_11VacantEntryjjE12insert_entryCsgHgHTXaw02S_17chr_direct_choice                                                                                                                                                                                      -      -            
     3.67%  [.] _RNvXNtNtNtCscdodAO9FK5_5alloc11collections5btree3mapINtB2_8BTreeMapNtCsgHgHTXaw02S_17chr_direct_choice5LabelbENtNtNtCs4NRVxsYgnAr_4core3ops4drop4Drop4dropB15_                                                                                                                                                            -      -            
     2.28%  [.] cfree                                                                                                                                                                                                                                                                                                                      -      -            
     2.08%  [.] malloc                                                                                                                                                                                                                                                                                                                     -      -            
     1.56%  [.] _RINvMsN_NtNtNtCscdodAO9FK5_5alloc11collections5btree4nodeINtB6_6HandleINtB6_7NodeRefNtNtB6_6marker3MutjNtNtB8_7set_val9SetValZSTNtB1m_4LeafENtB1m_4EdgeE16insert_recursingNtNtBc_5alloc6GlobalNCNvMs4_NtNtB8_3map5entryINtB3a_11VacantEntryjB1D_E12insert_entry0ECsgHgHTXaw02S_17chr_direct_choice                        -      -            
     1.50%  [.] _RINvMsN_NtNtNtCscdodAO9FK5_5alloc11collections5btree4nodeINtB6_6HandleINtB6_7NodeRefNtNtB6_6marker3MutNtCs5PyYPRahy7j_10chr_syntax3VarNtCsgHgHTXaw02S_17chr_direct_choice6NodeIdNtB1m_4LeafENtB1m_4EdgeE16insert_recursingNtNtBc_5alloc6GlobalNCNvMs4_NtNtB8_3map5entryINtB3W_11VacantEntryB1C_B28_E12insert_entry0EB2a_  -      -            
     1.24%  [.] _RNvXs9_NtCsgHgHTXaw02S_17chr_direct_choice6demandNtB5_4NodeNtNtCs4NRVxsYgnAr_4core5clone5Clone5clone                                                                                                                                                                                                                      -      -            
     1.04%  [.] _RNvMs_NtCsgHgHTXaw02S_17chr_direct_choice6demandNtB4_3Run4tick                                                                                                                                                                                                                                                            -      -            
     0.80%  [.] _RNvNvNtCscdodAO9FK5_5alloc3fmt6format12format_inner                                                                                                                                                                                                                                                                       -      -            
     0.55%  [.] _RNvXNtNtNtCscdodAO9FK5_5alloc11collections5btree3mapINtB2_8BTreeMapNtCs5PyYPRahy7j_10chr_syntax3VarNtCsgHgHTXaw02S_17chr_direct_choice6NodeIdENtNtNtCs4NRVxsYgnAr_4core3ops4drop4Drop4dropB1B_                                                                                                                            -      -            
     0.55%  [.] _RNvCs9wFQrvczXsK_7___rustc14___rust_dealloc                                                                                                                                                                                                                                                                               -      -            
     0.53%  [.] 0x00000000000a17db                                                                                                                                                                                                                                                                                                         -      -            
     0.52%  [.] 0x00000000000a26c9                                                                                                                                                                                                                                                                                                         -      -            
     0.51%  [.] _RNvXNtNtNtCscdodAO9FK5_5alloc11collections5btree3mapINtB2_8BTreeMapNtCs5PyYPRahy7j_10chr_syntax3VarNtNtB4_7set_val9SetValZSTENtNtNtCs4NRVxsYgnAr_4core3ops4drop4Drop4dropCsgHgHTXaw02S_17chr_direct_choice                                                                                                                -      -            


#
# (Cannot load tips.txt file, please install perf!)
#
