# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 9K of event 'cpu_core/cycles/u'
# Event count (approx.): 34162469771
#
# Children      Self  Symbol                                                                                                                                                                                                                                                                                                                                                                                                        IPC   [IPC Coverage]
# ........  ........  ............................................................................................................................................................................................................................................................................................................................................................................................................  ....................
#
    93.32%     0.00%  [.] 0xffffffffffffffff                                                                                                                                                                                                                                                                                                                                                                                        -      -            
    93.18%     0.19%  [.] _RNvMs_NtCsgHgHTXaw02S_17chr_direct_choice6demandNtB4_3Run4tick                                                                                                                                                                                                                                                                                                                                           -      -            
    92.98%     0.04%  [.] _RNvMs_NtNtCs8IslNjYkvvZ_20continuing_lifecycle4gate7runtimeNtB4_7Running4tick                                                                                                                                                                                                                                                                                                                            -      -            
    92.16%     0.08%  [.] _RNvNtCs8IslNjYkvvZ_20continuing_lifecycle4gate3run                                                                                                                                                                                                                                                                                                                                                       -      -            
    78.00%    78.00%  [.] _RINvNtNtCsgHgHTXaw02S_17chr_direct_choice6demand7context6lookupjbEB6_                                                                                                                                                                                                                                                                                                                                    -      -            
    42.79%     3.86%  [.] _RNvMs_NtCsgHgHTXaw02S_17chr_direct_choice6demandNtB4_3Run5force                                                                                                                                                                                                                                                                                                                                          -      -            
    23.01%     4.30%  [.] _RNvNvMs_NtCsgHgHTXaw02S_17chr_direct_choice6demandNtB6_3Run13finite_result5visit                                                                                                                                                                                                                                                                                                                         -      -            
    22.56%     0.06%  [.] _RNvMs_NtCsgHgHTXaw02S_17chr_direct_choice6demandNtB4_3Run13finite_result                                                                                                                                                                                                                                                                                                                                 -      -            
    12.35%     0.07%  [.] _RNvMs_NtCsgHgHTXaw02S_17chr_direct_choice6demandNtB4_3Run8partners                                                                                                                                                                                                                                                                                                                                       -      -            
     1.92%     1.53%  [.] _RNvMsi_NtNtNtCscdodAO9FK5_5alloc11collections5btree3mapINtB5_8BTreeMapjNtNtB7_7set_val9SetValZSTE6insertCsgHgHTXaw02S_17chr_direct_choice                                                                                                                                                                                                                                                                -      -            
     1.69%     1.69%  [.] _RINvNtNtCsgHgHTXaw02S_17chr_direct_choice6demand7context8includesjbEB6_                                                                                                                                                                                                                                                                                                                                  -      -            
     1.31%     0.01%  [.] _RNvMs_NtCsgHgHTXaw02S_17chr_direct_choice6demandNtB4_3Run7matches                                                                                                                                                                                                                                                                                                                                        -      -            
     1.29%     0.01%  [.] _RNvNtCs2AWtUsOyxgP_3std2rt19lang_start_internal                                                                                                                                                                                                                                                                                                                                                          -      -            
     1.29%     0.00%  [.] main                                                                                                                                                                                                                                                                                                                                                                                                      -      -            
     1.28%     0.00%  [.] _RINvNtNtCs2AWtUsOyxgP_3std3sys9backtrace28___rust_begin_short_backtraceFEuuECs8IslNjYkvvZ_20continuing_lifecycle                                                                                                                                                                                                                                                                                         -      -            
     1.28%     0.00%  [.] _RNCINvNtCs2AWtUsOyxgP_3std2rt10lang_startuE0Cs8IslNjYkvvZ_20continuing_lifecycle                                                                                                                                                                                                                                                                                                                         -      -            
     1.20%     0.00%  [.] 0xffffffffffffffff                                                                                                                                                                                                                                                                                                                                                                                        -      -            
     1.15%     0.94%  [.] _RINvNvXs0_NtNtNtCscdodAO9FK5_5alloc11collections5btree3mapINtB8_8BTreeMappppENtNtCs4NRVxsYgnAr_4core5clone5Clone5clone13clone_subtreejbNtNtBe_5alloc6GlobalECsgHgHTXaw02S_17chr_direct_choice.llvm.15381620640532348289                                                                                                                                                                                  -      -            
     1.14%     0.71%  [.] _RNvMs4_NtNtNtNtCscdodAO9FK5_5alloc11collections5btree3map5entryINtB5_11VacantEntryjjE12insert_entryCsgHgHTXaw02S_17chr_direct_choice                                                                                                                                                                                                                                                                     -      -            
     0.93%     0.09%  [.] _RINvMs_NtCsgHgHTXaw02S_17chr_direct_choice6demandNtB5_3Run11expand_planINtNtCscdodAO9FK5_5alloc2rc2RcNtNtB5_9templates8ExprNodeENCNvB2_15expand_template0EB7_                                                                                                                                                                                                                                            -      -            
     0.78%     0.56%  [.] malloc                                                                                                                                                                                                                                                                                                                                                                                                    -      -            
     0.57%     0.41%  [.] cfree                                                                                                                                                                                                                                                                                                                                                                                                     -      -            


#
# (Cannot load tips.txt file, please install perf!)
#
