# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 9K of event 'cpu_core/cycles/u'
# Event count (approx.): 34162469771
#
# Overhead  Symbol                                                                                                                                                                                                                                                                                                                                                                                                        IPC   [IPC Coverage]
# ........  ............................................................................................................................................................................................................................................................................................................................................................................................................  ....................
#
    78.00%  [.] _RINvNtNtCsgHgHTXaw02S_17chr_direct_choice6demand7context6lookupjbEB6_                                                                                                                                                                                                                                                                                                                                    -      -            
     4.30%  [.] _RNvNvMs_NtCsgHgHTXaw02S_17chr_direct_choice6demandNtB6_3Run13finite_result5visit                                                                                                                                                                                                                                                                                                                         -      -            
     3.86%  [.] _RNvMs_NtCsgHgHTXaw02S_17chr_direct_choice6demandNtB4_3Run5force                                                                                                                                                                                                                                                                                                                                          -      -            
     1.69%  [.] _RINvNtNtCsgHgHTXaw02S_17chr_direct_choice6demand7context8includesjbEB6_                                                                                                                                                                                                                                                                                                                                  -      -            
     1.53%  [.] _RNvMsi_NtNtNtCscdodAO9FK5_5alloc11collections5btree3mapINtB5_8BTreeMapjNtNtB7_7set_val9SetValZSTE6insertCsgHgHTXaw02S_17chr_direct_choice                                                                                                                                                                                                                                                                -      -            
     0.94%  [.] _RINvNvXs0_NtNtNtCscdodAO9FK5_5alloc11collections5btree3mapINtB8_8BTreeMappppENtNtCs4NRVxsYgnAr_4core5clone5Clone5clone13clone_subtreejbNtNtBe_5alloc6GlobalECsgHgHTXaw02S_17chr_direct_choice.llvm.15381620640532348289                                                                                                                                                                                  -      -            
     0.71%  [.] _RNvMs4_NtNtNtNtCscdodAO9FK5_5alloc11collections5btree3map5entryINtB5_11VacantEntryjjE12insert_entryCsgHgHTXaw02S_17chr_direct_choice                                                                                                                                                                                                                                                                     -      -            
     0.56%  [.] malloc                                                                                                                                                                                                                                                                                                                                                                                                    -      -            


#
# (Cannot load tips.txt file, please install perf!)
#
