# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 3K of event 'cpu_core/cycles/u'
# Event count (approx.): 11931873411
#
# Children      Self  Symbol                                                                                                                                                                                                                                                                                                                                          IPC   [IPC Coverage]
# ........  ........  ..............................................................................................................................................................................................................................................................................................................................................  ....................
#
    90.82%     0.00%  [.] 0xffffffffffffffff                                                                                                                                                                                                                                                                                                                          -      -            
    79.55%     0.85%  [.] _RNvMs_NtCsl7mlajFerVc_17chr_direct_choice6demandNtB4_3Run4tick                                                                                                                                                                                                                                                                             -      -            
    78.22%     0.03%  [.] _RNvMs_NtNtCsbB4RSKN0WtT_20continuing_lifecycle4gate7runtimeNtB4_7Running4tick                                                                                                                                                                                                                                                              -      -            
    72.06%     0.09%  [.] _RNvNtCsbB4RSKN0WtT_20continuing_lifecycle4gate3run                                                                                                                                                                                                                                                                                         -      -            
    57.76%    57.76%  [.] _RINvNtNtCsl7mlajFerVc_17chr_direct_choice6demand7context7seekingjbEB6_                                                                                                                                                                                                                                                                     -      -            
    35.08%    13.87%  [.] _RNvNvMs_NtCsl7mlajFerVc_17chr_direct_choice6demandNtB6_3Run13finite_result5visit                                                                                                                                                                                                                                                           -      -            
    32.31%     9.35%  [.] _RNvMs_NtCsl7mlajFerVc_17chr_direct_choice6demandNtB4_3Run5force                                                                                                                                                                                                                                                                            -      -            
    24.07%     0.13%  [.] _RNvMs_NtCsl7mlajFerVc_17chr_direct_choice6demandNtB4_3Run13finite_result                                                                                                                                                                                                                                                                   -      -            
     2.59%     1.72%  [.] _RNvMsi_NtNtNtCscdodAO9FK5_5alloc11collections5btree3mapINtB5_8BTreeMapjNtNtB7_7set_val9SetValZSTE6insertCsl7mlajFerVc_17chr_direct_choice                                                                                                                                                                                                  -      -            
     1.89%     1.30%  [.] _RNvMs4_NtNtNtNtCscdodAO9FK5_5alloc11collections5btree3map5entryINtB5_11VacantEntryjjE12insert_entryCsl7mlajFerVc_17chr_direct_choice                                                                                                                                                                                                       -      -            
     1.75%     1.29%  [.] _RNvXs9_NtCsl7mlajFerVc_17chr_direct_choice6demandNtB5_4NodeNtNtCs4NRVxsYgnAr_4core5clone5Clone5clone                                                                                                                                                                                                                                       -      -            
     1.56%     1.40%  [.] malloc                                                                                                                                                                                                                                                                                                                                      -      -            
     1.34%     0.00%  [.] _RINvNtNtCs2AWtUsOyxgP_3std3sys9backtrace28___rust_begin_short_backtraceFEuuECsbB4RSKN0WtT_20continuing_lifecycle                                                                                                                                                                                                                           -      -            
     1.34%     0.00%  [.] _RNCINvNtCs2AWtUsOyxgP_3std2rt10lang_startuE0CsbB4RSKN0WtT_20continuing_lifecycle                                                                                                                                                                                                                                                           -      -            
     1.34%     0.00%  [.] _RNvNtCs2AWtUsOyxgP_3std2rt19lang_start_internal                                                                                                                                                                                                                                                                                            -      -            
     1.34%     0.00%  [.] main                                                                                                                                                                                                                                                                                                                                        -      -            
     1.19%     1.03%  [.] _RINvNvXs0_NtNtNtCscdodAO9FK5_5alloc11collections5btree3mapINtB8_8BTreeMappppENtNtCs4NRVxsYgnAr_4core5clone5Clone5clone13clone_subtreejbNtNtBe_5alloc6GlobalECsl7mlajFerVc_17chr_direct_choice.llvm.15866106546757652929                                                                                                                    -      -            
     0.99%     0.12%  [.] _RINvMs_NtCsl7mlajFerVc_17chr_direct_choice6demandNtB5_3Run11expand_planNtCs5PyYPRahy7j_10chr_syntax4TermNvB2_4termEB7_                                                                                                                                                                                                                     -      -            
