# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 5K of event 'cpu_core/cycles/u'
# Event count (approx.): 22097503175
#
# Children      Self  Symbol                                                                                                                                                                                                                                                                                                                                          IPC   [IPC Coverage]
# ........  ........  ..............................................................................................................................................................................................................................................................................................................................................  ....................
#
    96.41%     0.00%  [.] 0xffffffffffffffff                                                                                                                                                                                                                                                                                                                          -      -            
    88.45%     0.61%  [.] _RNvMs_NtCsl7mlajFerVc_17chr_direct_choice6demandNtB4_3Run4tick                                                                                                                                                                                                                                                                             -      -            
    87.32%     0.05%  [.] _RNvMs_NtNtCsbB4RSKN0WtT_20continuing_lifecycle4gate7runtimeNtB4_7Running4tick                                                                                                                                                                                                                                                              -      -            
    82.00%     0.09%  [.] _RNvNtCsbB4RSKN0WtT_20continuing_lifecycle4gate3run                                                                                                                                                                                                                                                                                         -      -            
    61.95%    61.95%  [.] _RINvNtNtCsl7mlajFerVc_17chr_direct_choice6demand7context7seekingjbEB6_                                                                                                                                                                                                                                                                     -      -            
    40.77%     8.94%  [.] _RNvMs_NtCsl7mlajFerVc_17chr_direct_choice6demandNtB4_3Run5force                                                                                                                                                                                                                                                                            -      -            
    33.05%    10.84%  [.] _RNvNvMs_NtCsl7mlajFerVc_17chr_direct_choice6demandNtB6_3Run13finite_result5visit                                                                                                                                                                                                                                                           -      -            
    25.63%     0.24%  [.] _RNvMs_NtCsl7mlajFerVc_17chr_direct_choice6demandNtB4_3Run13finite_result                                                                                                                                                                                                                                                                   -      -            
     5.61%     0.03%  [.] _RNvMs_NtCsl7mlajFerVc_17chr_direct_choice6demandNtB4_3Run7matches                                                                                                                                                                                                                                                                          -      -            
     3.58%     0.05%  [.] _RNvMs_NtCsl7mlajFerVc_17chr_direct_choice6demandNtB4_3Run8partners                                                                                                                                                                                                                                                                         -      -            
     3.20%     1.23%  [.] _RNvMsi_NtNtNtCscdodAO9FK5_5alloc11collections5btree3mapINtB5_8BTreeMapjNtNtB7_7set_val9SetValZSTE6insertCsl7mlajFerVc_17chr_direct_choice                                                                                                                                                                                                  -      -            
     2.69%     1.70%  [.] _RNvXs9_NtCsl7mlajFerVc_17chr_direct_choice6demandNtB5_4NodeNtNtCs4NRVxsYgnAr_4core5clone5Clone5clone                                                                                                                                                                                                                                       -      -            
     2.68%     1.24%  [.] _RNvMs4_NtNtNtNtCscdodAO9FK5_5alloc11collections5btree3map5entryINtB5_11VacantEntryjjE12insert_entryCsl7mlajFerVc_17chr_direct_choice                                                                                                                                                                                                       -      -            
     2.51%     1.47%  [.] malloc                                                                                                                                                                                                                                                                                                                                      -      -            
     1.91%     0.96%  [.] _RINvMsN_NtNtNtCscdodAO9FK5_5alloc11collections5btree4nodeINtB6_6HandleINtB6_7NodeRefNtNtB6_6marker3MutjNtNtB8_7set_val9SetValZSTNtB1m_4LeafENtB1m_4EdgeE16insert_recursingNtNtBc_5alloc6GlobalNCNvMs4_NtNtB8_3map5entryINtB3a_11VacantEntryjB1D_E12insert_entry0ECsl7mlajFerVc_17chr_direct_choice                                         -      -            
     1.81%     0.52%  [.] cfree                                                                                                                                                                                                                                                                                                                                       -      -            
     1.56%     0.00%  [.] _RINvNtNtCs2AWtUsOyxgP_3std3sys9backtrace28___rust_begin_short_backtraceFEuuECsbB4RSKN0WtT_20continuing_lifecycle                                                                                                                                                                                                                           -      -            
     1.56%     0.00%  [.] _RNCINvNtCs2AWtUsOyxgP_3std2rt10lang_startuE0CsbB4RSKN0WtT_20continuing_lifecycle                                                                                                                                                                                                                                                           -      -            
     1.56%     0.00%  [.] _RNvNtCs2AWtUsOyxgP_3std2rt19lang_start_internal                                                                                                                                                                                                                                                                                            -      -            
     1.56%     0.00%  [.] main                                                                                                                                                                                                                                                                                                                                        -      -            
     1.44%     0.91%  [.] _RINvMsN_NtNtNtCscdodAO9FK5_5alloc11collections5btree4nodeINtB6_6HandleINtB6_7NodeRefNtNtB6_6marker3MutNtCs5PyYPRahy7j_10chr_syntax3VarNtCsl7mlajFerVc_17chr_direct_choice6NodeIdNtB1m_4LeafENtB1m_4EdgeE16insert_recursingNtNtBc_5alloc6GlobalNCNvMs4_NtNtB8_3map5entryINtB3W_11VacantEntryB1C_B28_E12insert_entry0EB2a_                   -      -            
     1.43%     0.03%  [.] _RNvMs4_NtCscdodAO9FK5_5alloc7raw_vecNtB5_11RawVecInner11finish_growCsl7mlajFerVc_17chr_direct_choice.llvm.7111988575262212203                                                                                                                                                                                                              -      -            
     1.43%     0.12%  [.] _RNvMs3_NtCscdodAO9FK5_5alloc7raw_vecINtB5_6RawVecNtCs5PyYPRahy7j_10chr_syntax3VarE8grow_oneCsl7mlajFerVc_17chr_direct_choice                                                                                                                                                                                                               -      -            
     1.41%     0.00%  [.] _start                                                                                                                                                                                                                                                                                                                                      -      -            
     1.39%     0.00%  [.] __libc_start_main                                                                                                                                                                                                                                                                                                                           -      -            
     1.32%     0.08%  [.] realloc                                                                                                                                                                                                                                                                                                                                     -      -            
     1.09%     0.20%  [.] _RNvXs4_NtCscdodAO9FK5_5alloc6stringNtB5_6StringNtNtCs4NRVxsYgnAr_4core5clone5Clone5clone                                                                                                                                                                                                                                                   -      -            
     0.97%     0.42%  [.] _RINvNvXs0_NtNtNtCscdodAO9FK5_5alloc11collections5btree3mapINtB8_8BTreeMappppENtNtCs4NRVxsYgnAr_4core5clone5Clone5clone13clone_subtreejbNtNtBe_5alloc6GlobalECsl7mlajFerVc_17chr_direct_choice.llvm.15866106546757652929                                                                                                                    -      -            
     0.84%     0.10%  [.] _RINvMs_NtCsl7mlajFerVc_17chr_direct_choice6demandNtB5_3Run11expand_planNtCs5PyYPRahy7j_10chr_syntax4TermNvB2_4termEB7_                                                                                                                                                                                                                     -      -            
     0.64%     0.02%  [.] _RINvNtCs4NRVxsYgnAr_4core3ptr9drop_glueNtNtCsbB4RSKN0WtT_20continuing_lifecycle4gate8DeliveryEBF_                                                                                                                                                                                                                                          -      -            


#
# (Cannot load tips.txt file, please install perf!)
#
