# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cpu_core/cycles/u'
# Event count (approx.): 4405094605
#
# Overhead  Symbol                                                                                                                                                                                                                                                                                                                         IPC   [IPC Coverage]
# ........  .............................................................................................................................................................................................................................................................................................................................  ....................
#
    18.60%  [.] _RNvNvMs_NtCsl7mlajFerVc_17chr_direct_choice6demandNtB6_3Run13finite_result5visit                                                                                                                                                                                                                                          -      -            
    11.05%  [.] _RINvNvXs0_NtNtNtCscdodAO9FK5_5alloc11collections5btree3mapINtB8_8BTreeMappppENtNtCs4NRVxsYgnAr_4core5clone5Clone5clone13clone_subtreejbNtNtBe_5alloc6GlobalECsl7mlajFerVc_17chr_direct_choice.llvm.15866106546757652929                                                                                                   -      -            
     9.04%  [.] _RNvMs_NtCsl7mlajFerVc_17chr_direct_choice6demandNtB4_3Run5force                                                                                                                                                                                                                                                           -      -            
     7.17%  [.] _RNvMsi_NtNtNtCscdodAO9FK5_5alloc11collections5btree3mapINtB5_8BTreeMapjNtNtB7_7set_val9SetValZSTE6insertCsl7mlajFerVc_17chr_direct_choice                                                                                                                                                                                 -      -            
     4.51%  [.] _RNvXNtNtNtCscdodAO9FK5_5alloc11collections5btree3mapINtB2_8BTreeMapNtCsl7mlajFerVc_17chr_direct_choice5LabelbENtNtNtCs4NRVxsYgnAr_4core3ops4drop4Drop4dropB15_                                                                                                                                                            -      -            
     4.40%  [.] _RINvNtNtCsl7mlajFerVc_17chr_direct_choice6demand7context7seekingjbEB6_                                                                                                                                                                                                                                                    -      -            
     2.66%  [.] _RNvMs4_NtNtNtNtCscdodAO9FK5_5alloc11collections5btree3map5entryINtB5_11VacantEntryjjE12insert_entryCsl7mlajFerVc_17chr_direct_choice                                                                                                                                                                                      -      -            
     2.56%  [.] malloc                                                                                                                                                                                                                                                                                                                     -      -            
     2.24%  [.] cfree                                                                                                                                                                                                                                                                                                                      -      -            
     1.43%  [.] _RNvXs9_NtCsl7mlajFerVc_17chr_direct_choice6demandNtB5_4NodeNtNtCs4NRVxsYgnAr_4core5clone5Clone5clone                                                                                                                                                                                                                      -      -            
     1.31%  [k] 0xffffffffa9400ba0                                                                                                                                                                                                                                                                                                         -      -            
     1.17%  [.] _RINvMsN_NtNtNtCscdodAO9FK5_5alloc11collections5btree4nodeINtB6_6HandleINtB6_7NodeRefNtNtB6_6marker3MutjNtNtB8_7set_val9SetValZSTNtB1m_4LeafENtB1m_4EdgeE16insert_recursingNtNtBc_5alloc6GlobalNCNvMs4_NtNtB8_3map5entryINtB3a_11VacantEntryjB1D_E12insert_entry0ECsl7mlajFerVc_17chr_direct_choice                        -      -            
     1.08%  [.] _RNvXNtNtNtCscdodAO9FK5_5alloc11collections5btree3mapINtB2_8BTreeMapNtCs5PyYPRahy7j_10chr_syntax3VarNtNtB4_7set_val9SetValZSTENtNtNtCs4NRVxsYgnAr_4core3ops4drop4Drop4dropCsl7mlajFerVc_17chr_direct_choice                                                                                                                -      -            
     0.98%  [.] _RINvMsN_NtNtNtCscdodAO9FK5_5alloc11collections5btree4nodeINtB6_6HandleINtB6_7NodeRefNtNtB6_6marker3MutNtCs5PyYPRahy7j_10chr_syntax3VarNtCsl7mlajFerVc_17chr_direct_choice6NodeIdNtB1m_4LeafENtB1m_4EdgeE16insert_recursingNtNtBc_5alloc6GlobalNCNvMs4_NtNtB8_3map5entryINtB3W_11VacantEntryB1C_B28_E12insert_entry0EB2a_  -      -            
     0.92%  [.] _RINvMs_NtCsl7mlajFerVc_17chr_direct_choice6demandNtB5_3Run11expand_planINtNtCscdodAO9FK5_5alloc2rc2RcNtNtB5_9templates8ExprNodeENCNvB2_15expand_template0EB7_                                                                                                                                                             -      -            
     0.79%  [.] 0x00000000000a2671                                                                                                                                                                                                                                                                                                         -      -            
     0.77%  [.] _RNvMs_NtCsl7mlajFerVc_17chr_direct_choice6demandNtB4_3Run4tick                                                                                                                                                                                                                                                            -      -            
     0.62%  [.] _RNvXNtNtNtCscdodAO9FK5_5alloc11collections5btree3mapINtB2_8BTreeMapNtCs5PyYPRahy7j_10chr_syntax3VarNtCsl7mlajFerVc_17chr_direct_choice6NodeIdENtNtNtCs4NRVxsYgnAr_4core3ops4drop4Drop4dropB1B_                                                                                                                            -      -            
     0.58%  [.] 0x00000000000a1806                                                                                                                                                                                                                                                                                                         -      -            
     0.55%  [.] _RNvCs9wFQrvczXsK_7___rustc12___rust_alloc                                                                                                                                                                                                                                                                                 -      -            


#
# (Cannot load tips.txt file, please install perf!)
#
