# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 4K of event 'cpu_core/cycles/u'
# Event count (approx.): 17307155590
#
# Children      Self  Symbol                                                                                                                                                                                                                                                                                                                                          IPC   [IPC Coverage]
# ........  ........  ..............................................................................................................................................................................................................................................................................................................................................  ....................
#
    91.06%     0.00%  [.] 0xffffffffffffffff                                                                                                                                                                                                                                                                                                                          -      -            
    86.62%     0.45%  [.] _RNvMs_NtCsl7mlajFerVc_17chr_direct_choice6demandNtB4_3Run4tick                                                                                                                                                                                                                                                                             -      -            
    86.13%     0.08%  [.] _RNvMs_NtNtCsbB4RSKN0WtT_20continuing_lifecycle4gate7runtimeNtB4_7Running4tick                                                                                                                                                                                                                                                              -      -            
    84.55%     0.14%  [.] _RNvNtCsbB4RSKN0WtT_20continuing_lifecycle4gate3run                                                                                                                                                                                                                                                                                         -      -            
    61.12%    61.10%  [.] _RINvNtNtCsl7mlajFerVc_17chr_direct_choice6demand7context7seekingjbEB6_                                                                                                                                                                                                                                                                     -      -            
    40.53%     6.17%  [.] _RNvMs_NtCsl7mlajFerVc_17chr_direct_choice6demandNtB4_3Run5force                                                                                                                                                                                                                                                                            -      -            
    24.60%     8.27%  [.] _RNvNvMs_NtCsl7mlajFerVc_17chr_direct_choice6demandNtB6_3Run13finite_result5visit                                                                                                                                                                                                                                                           -      -            
    23.93%     0.04%  [.] _RNvMs_NtCsl7mlajFerVc_17chr_direct_choice6demandNtB4_3Run13finite_result                                                                                                                                                                                                                                                                   -      -            
     9.00%     0.00%  [.] _RNvMs_NtCsl7mlajFerVc_17chr_direct_choice6demandNtB4_3Run8partners                                                                                                                                                                                                                                                                         -      -            
     3.27%     2.53%  [.] _RNvMsi_NtNtNtCscdodAO9FK5_5alloc11collections5btree3mapINtB5_8BTreeMapjNtNtB7_7set_val9SetValZSTE6insertCsl7mlajFerVc_17chr_direct_choice                                                                                                                                                                                                  -      -            
     2.86%     1.53%  [.] _RNvMs4_NtNtNtNtCscdodAO9FK5_5alloc11collections5btree3map5entryINtB5_11VacantEntryjjE12insert_entryCsl7mlajFerVc_17chr_direct_choice                                                                                                                                                                                                       -      -            
     2.35%     0.00%  [.] _RINvNtNtCs2AWtUsOyxgP_3std3sys9backtrace28___rust_begin_short_backtraceFEuuECsbB4RSKN0WtT_20continuing_lifecycle                                                                                                                                                                                                                           -      -            
     2.35%     0.00%  [.] _RNCINvNtCs2AWtUsOyxgP_3std2rt10lang_startuE0CsbB4RSKN0WtT_20continuing_lifecycle                                                                                                                                                                                                                                                           -      -            
     2.35%     0.00%  [.] _RNvNtCs2AWtUsOyxgP_3std2rt19lang_start_internal                                                                                                                                                                                                                                                                                            -      -            
     2.35%     0.00%  [.] main                                                                                                                                                                                                                                                                                                                                        -      -            
     2.25%     0.02%  [.] _RNvMs_NtCsl7mlajFerVc_17chr_direct_choice6demandNtB4_3Run4tick                                                                                                                                                                                                                                                                             -      -            
     2.21%     0.00%  [.] _RNvMs_NtNtCsbB4RSKN0WtT_20continuing_lifecycle4gate7runtimeNtB4_7Running4tick                                                                                                                                                                                                                                                              -      -            
     2.17%     0.06%  [.] _RNvMs_NtCsl7mlajFerVc_17chr_direct_choice6demandNtB4_3Run7matches                                                                                                                                                                                                                                                                          -      -            
     2.10%     0.00%  [.] _RNvNtCsbB4RSKN0WtT_20continuing_lifecycle4gate3run                                                                                                                                                                                                                                                                                         -      -            
     1.86%     1.45%  [.] _RINvNvXs0_NtNtNtCscdodAO9FK5_5alloc11collections5btree3mapINtB8_8BTreeMappppENtNtCs4NRVxsYgnAr_4core5clone5Clone5clone13clone_subtreejbNtNtBe_5alloc6GlobalECsl7mlajFerVc_17chr_direct_choice.llvm.15866106546757652929                                                                                                                    -      -            
     1.71%     1.18%  [.] malloc                                                                                                                                                                                                                                                                                                                                      -      -            
     1.70%     0.04%  [.] _RINvMs_NtCsl7mlajFerVc_17chr_direct_choice6demandNtB5_3Run11expand_planINtNtCscdodAO9FK5_5alloc2rc2RcNtNtB5_9templates8ExprNodeENCNvB2_15expand_template0EB7_                                                                                                                                                                              -      -            
     1.50%     1.38%  [.] _RNvXs9_NtCsl7mlajFerVc_17chr_direct_choice6demandNtB5_4NodeNtNtCs4NRVxsYgnAr_4core5clone5Clone5clone                                                                                                                                                                                                                                       -      -            
     1.49%     1.49%  [.] _RINvNtNtCsl7mlajFerVc_17chr_direct_choice6demand7context7seekingjbEB6_                                                                                                                                                                                                                                                                     -      -            
     1.33%     0.94%  [.] _RINvMsN_NtNtNtCscdodAO9FK5_5alloc11collections5btree4nodeINtB6_6HandleINtB6_7NodeRefNtNtB6_6marker3MutNtCs5PyYPRahy7j_10chr_syntax3VarNtCsl7mlajFerVc_17chr_direct_choice6NodeIdNtB1m_4LeafENtB1m_4EdgeE16insert_recursingNtNtBc_5alloc6GlobalNCNvMs4_NtNtB8_3map5entryINtB3W_11VacantEntryB1C_B28_E12insert_entry0EB2a_                   -      -            
     1.26%     0.67%  [.] cfree                                                                                                                                                                                                                                                                                                                                       -      -            
     0.97%     0.00%  [.] _start                                                                                                                                                                                                                                                                                                                                      -      -            
     0.92%     0.00%  [.] __libc_start_main                                                                                                                                                                                                                                                                                                                           -      -            
