   Compiling chr-direct-conditional v0.1.0 (/home/ahart/Documents/CHRLang/research/chr-direct-conditional)
    Finished `release` profile [optimized] target(s) in 2.08s
     Running `target/release/examples/order_layout`
mode=0 query=0 outputs_len=2 outputs_capacity=2 residual_len=1 residual_capacity=1 constraint_bytes=48
mode=0 query=1 outputs_len=2 outputs_capacity=2 residual_len=1 residual_capacity=1 constraint_bytes=48
mode=0 query=2 outputs_len=2 outputs_capacity=2 residual_len=1 residual_capacity=1 constraint_bytes=48
mode=0 query=3 outputs_len=2 outputs_capacity=2 residual_len=1 residual_capacity=1 constraint_bytes=48
mode=5 query=0 outputs_len=2 outputs_capacity=2 residual_len=1 residual_capacity=4 constraint_bytes=48
mode=5 query=1 outputs_len=2 outputs_capacity=2 residual_len=1 residual_capacity=4 constraint_bytes=48
mode=5 query=2 outputs_len=2 outputs_capacity=2 residual_len=1 residual_capacity=4 constraint_bytes=48
mode=5 query=3 outputs_len=2 outputs_capacity=2 residual_len=1 residual_capacity=4 constraint_bytes=48
mode=7 query=0 outputs_len=2 outputs_capacity=2 residual_len=1 residual_capacity=1 constraint_bytes=48
mode=7 query=1 outputs_len=2 outputs_capacity=2 residual_len=1 residual_capacity=1 constraint_bytes=48
mode=7 query=2 outputs_len=2 outputs_capacity=2 residual_len=1 residual_capacity=1 constraint_bytes=48
mode=7 query=3 outputs_len=2 outputs_capacity=2 residual_len=1 residual_capacity=1 constraint_bytes=48
