Verified 220 processes, 11,000 complete lifecycles, 2,000 exact metered lifecycles
dependencies direct {'unresolved': 8}
templates direct {'unresolved': 8}
dependencies uncached {'unresolved': 4}
templates uncached {'unresolved': 4}
{'mode': 'dependencies', 'enabled': False, 'resource': False, 'keep': '0', 'control': 'direct', 'median': 0.8514611859827887, 'minimum': 0.4030816444543604, 'maximum': 1.2647041044550564, 'disposition': 'unresolved'}
{'mode': 'dependencies', 'enabled': False, 'resource': False, 'keep': 'all', 'control': 'direct', 'median': 0.8266332317541709, 'minimum': 0.49173113638429866, 'maximum': 1.274288375121617, 'disposition': 'unresolved'}
{'mode': 'dependencies', 'enabled': False, 'resource': True, 'keep': '0', 'control': 'direct', 'median': 0.7750780898811651, 'minimum': 0.365453169231475, 'maximum': 1.281955094245693, 'disposition': 'unresolved'}
{'mode': 'dependencies', 'enabled': False, 'resource': True, 'keep': 'all', 'control': 'direct', 'median': 0.8661445391764363, 'minimum': 0.6421621847671712, 'maximum': 1.413836519158593, 'disposition': 'unresolved'}
{'mode': 'dependencies', 'enabled': True, 'resource': False, 'keep': '0', 'control': 'direct', 'median': 0.8018181745718601, 'minimum': 0.3621376176447822, 'maximum': 1.097922391234811, 'disposition': 'unresolved'}
{'mode': 'dependencies', 'enabled': True, 'resource': False, 'keep': '0', 'control': 'uncached', 'median': 0.9533886680151589, 'minimum': 0.6126326355032979, 'maximum': 1.2894567706777467, 'disposition': 'unresolved'}
{'mode': 'dependencies', 'enabled': True, 'resource': False, 'keep': 'all', 'control': 'direct', 'median': 0.7907874577961802, 'minimum': 0.589481226216194, 'maximum': 1.3113965427730883, 'disposition': 'unresolved'}
{'mode': 'dependencies', 'enabled': True, 'resource': False, 'keep': 'all', 'control': 'uncached', 'median': 1.0120846790037088, 'minimum': 0.6011966654981253, 'maximum': 1.6081385697847699, 'disposition': 'unresolved'}
{'mode': 'dependencies', 'enabled': True, 'resource': True, 'keep': '0', 'control': 'direct', 'median': 0.8093252230597477, 'minimum': 0.42067411993401777, 'maximum': 1.5523390157564436, 'disposition': 'unresolved'}
{'mode': 'dependencies', 'enabled': True, 'resource': True, 'keep': '0', 'control': 'uncached', 'median': 1.0630359953422308, 'minimum': 0.9919395822874092, 'maximum': 1.890320772821063, 'disposition': 'unresolved'}
{'mode': 'dependencies', 'enabled': True, 'resource': True, 'keep': 'all', 'control': 'direct', 'median': 0.9491053044134152, 'minimum': 0.6571527834743125, 'maximum': 1.39243077962805, 'disposition': 'unresolved'}
{'mode': 'dependencies', 'enabled': True, 'resource': True, 'keep': 'all', 'control': 'uncached', 'median': 1.1024907071998484, 'minimum': 0.640441218459316, 'maximum': 1.5798696911535395, 'disposition': 'unresolved'}
{'mode': 'templates', 'enabled': False, 'resource': False, 'keep': '0', 'control': 'direct', 'median': 0.9844427370910148, 'minimum': 0.7106063572576643, 'maximum': 1.3551206749852882, 'disposition': 'unresolved'}
{'mode': 'templates', 'enabled': False, 'resource': False, 'keep': 'all', 'control': 'direct', 'median': 0.9676708385341115, 'minimum': 0.5576612536636261, 'maximum': 1.828066735062408, 'disposition': 'unresolved'}
{'mode': 'templates', 'enabled': False, 'resource': True, 'keep': '0', 'control': 'direct', 'median': 0.8462292096497194, 'minimum': 0.4757842082225506, 'maximum': 1.5150384091568014, 'disposition': 'unresolved'}
{'mode': 'templates', 'enabled': False, 'resource': True, 'keep': 'all', 'control': 'direct', 'median': 0.9535453101424812, 'minimum': 0.7099206559834524, 'maximum': 2.419509093286634, 'disposition': 'unresolved'}
{'mode': 'templates', 'enabled': True, 'resource': False, 'keep': '0', 'control': 'direct', 'median': 0.9705957721860788, 'minimum': 0.2636563565746757, 'maximum': 1.6074289936999262, 'disposition': 'unresolved'}
{'mode': 'templates', 'enabled': True, 'resource': False, 'keep': '0', 'control': 'uncached', 'median': 0.9901828809108538, 'minimum': 0.37103011235667077, 'maximum': 1.5756555119479765, 'disposition': 'unresolved'}
{'mode': 'templates', 'enabled': True, 'resource': False, 'keep': 'all', 'control': 'direct', 'median': 0.8883765646932144, 'minimum': 0.5940897106763584, 'maximum': 1.2965327368817543, 'disposition': 'unresolved'}
{'mode': 'templates', 'enabled': True, 'resource': False, 'keep': 'all', 'control': 'uncached', 'median': 0.903572175610663, 'minimum': 0.4782327773658989, 'maximum': 1.484146704657086, 'disposition': 'unresolved'}
{'mode': 'templates', 'enabled': True, 'resource': True, 'keep': '0', 'control': 'direct', 'median': 0.7968017347021141, 'minimum': 0.43232709764111543, 'maximum': 1.1103523214820843, 'disposition': 'unresolved'}
{'mode': 'templates', 'enabled': True, 'resource': True, 'keep': '0', 'control': 'uncached', 'median': 0.9659411949356492, 'minimum': 0.6495640721828437, 'maximum': 1.4040254114258504, 'disposition': 'unresolved'}
{'mode': 'templates', 'enabled': True, 'resource': True, 'keep': 'all', 'control': 'direct', 'median': 0.9809863441514726, 'minimum': 0.7035253750425204, 'maximum': 1.0875854211490863, 'disposition': 'unresolved'}
{'mode': 'templates', 'enabled': True, 'resource': True, 'keep': 'all', 'control': 'uncached', 'median': 1.0099472732949573, 'minimum': 0.4276132847272265, 'maximum': 1.0887684134374265, 'disposition': 'unresolved'}
