built False time
built False meter
built True time
built True meter
0 {'source': 'continuing', 'mode': 'dependencies', 'enabled': False, 'resource': False, 'demand': 32, 'keep': '0'} time 0 0
1 {'source': 'continuing', 'mode': 'dependencies', 'enabled': False, 'resource': False, 'demand': 32, 'keep': 'all'} time 0 0
2 {'source': 'continuing', 'mode': 'dependencies', 'enabled': False, 'resource': False, 'demand': 128, 'keep': '0'} time 0 0
3 {'source': 'continuing', 'mode': 'dependencies', 'enabled': False, 'resource': False, 'demand': 128, 'keep': 'all'} time 0 0
4 {'source': 'continuing', 'mode': 'dependencies', 'enabled': False, 'resource': True, 'demand': 32, 'keep': '0'} time 0 0
5 {'source': 'continuing', 'mode': 'dependencies', 'enabled': False, 'resource': True, 'demand': 32, 'keep': 'all'} time 0 0
6 {'source': 'continuing', 'mode': 'dependencies', 'enabled': False, 'resource': True, 'demand': 128, 'keep': '0'} time 0 0
7 {'source': 'continuing', 'mode': 'dependencies', 'enabled': False, 'resource': True, 'demand': 128, 'keep': 'all'} time 0 0
8 {'source': 'continuing', 'mode': 'dependencies', 'enabled': True, 'resource': False, 'demand': 32, 'keep': '0'} time 0 0
9 {'source': 'continuing', 'mode': 'dependencies', 'enabled': True, 'resource': False, 'demand': 32, 'keep': 'all'} time 0 0
10 {'source': 'continuing', 'mode': 'dependencies', 'enabled': True, 'resource': False, 'demand': 128, 'keep': '0'} time 0 0
11 {'source': 'continuing', 'mode': 'dependencies', 'enabled': True, 'resource': False, 'demand': 128, 'keep': 'all'} time 0 0
12 {'source': 'continuing', 'mode': 'dependencies', 'enabled': True, 'resource': True, 'demand': 32, 'keep': '0'} time 0 0
13 {'source': 'continuing', 'mode': 'dependencies', 'enabled': True, 'resource': True, 'demand': 32, 'keep': 'all'} time 0 0
14 {'source': 'continuing', 'mode': 'dependencies', 'enabled': True, 'resource': True, 'demand': 128, 'keep': '0'} time 0 0
15 {'source': 'continuing', 'mode': 'dependencies', 'enabled': True, 'resource': True, 'demand': 128, 'keep': 'all'} time 0 0
16 {'source': 'continuing', 'mode': 'templates', 'enabled': False, 'resource': False, 'demand': 32, 'keep': '0'} time 0 0
17 {'source': 'continuing', 'mode': 'templates', 'enabled': False, 'resource': False, 'demand': 32, 'keep': 'all'} time 0 0
18 {'source': 'continuing', 'mode': 'templates', 'enabled': False, 'resource': False, 'demand': 128, 'keep': '0'} time 0 0
19 {'source': 'continuing', 'mode': 'templates', 'enabled': False, 'resource': False, 'demand': 128, 'keep': 'all'} time 0 0
20 {'source': 'continuing', 'mode': 'templates', 'enabled': False, 'resource': True, 'demand': 32, 'keep': '0'} time 0 0
21 {'source': 'continuing', 'mode': 'templates', 'enabled': False, 'resource': True, 'demand': 32, 'keep': 'all'} time 0 0
22 {'source': 'continuing', 'mode': 'templates', 'enabled': False, 'resource': True, 'demand': 128, 'keep': '0'} time 0 0
23 {'source': 'continuing', 'mode': 'templates', 'enabled': False, 'resource': True, 'demand': 128, 'keep': 'all'} time 0 0
24 {'source': 'continuing', 'mode': 'templates', 'enabled': True, 'resource': False, 'demand': 32, 'keep': '0'} time 0 0
25 {'source': 'continuing', 'mode': 'templates', 'enabled': True, 'resource': False, 'demand': 32, 'keep': 'all'} time 0 0
26 {'source': 'continuing', 'mode': 'templates', 'enabled': True, 'resource': False, 'demand': 128, 'keep': '0'} time 0 0
27 {'source': 'continuing', 'mode': 'templates', 'enabled': True, 'resource': False, 'demand': 128, 'keep': 'all'} time 0 0
28 {'source': 'continuing', 'mode': 'templates', 'enabled': True, 'resource': True, 'demand': 32, 'keep': '0'} time 0 0
29 {'source': 'continuing', 'mode': 'templates', 'enabled': True, 'resource': True, 'demand': 32, 'keep': 'all'} time 0 0
30 {'source': 'continuing', 'mode': 'templates', 'enabled': True, 'resource': True, 'demand': 128, 'keep': '0'} time 0 0
31 {'source': 'continuing', 'mode': 'templates', 'enabled': True, 'resource': True, 'demand': 128, 'keep': 'all'} time 0 0
32 {'source': 'continuing', 'mode': 'dependencies-reclaim', 'enabled': False, 'resource': False, 'demand': 32, 'keep': '0'} time 0 0
33 {'source': 'continuing', 'mode': 'dependencies-reclaim', 'enabled': False, 'resource': False, 'demand': 32, 'keep': 'all'} time 0 0
34 {'source': 'continuing', 'mode': 'dependencies-reclaim', 'enabled': False, 'resource': False, 'demand': 128, 'keep': '0'} time 0 0
35 {'source': 'continuing', 'mode': 'dependencies-reclaim', 'enabled': False, 'resource': False, 'demand': 128, 'keep': 'all'} time 0 0
36 {'source': 'continuing', 'mode': 'dependencies-reclaim', 'enabled': False, 'resource': True, 'demand': 32, 'keep': '0'} time 0 0
37 {'source': 'continuing', 'mode': 'dependencies-reclaim', 'enabled': False, 'resource': True, 'demand': 32, 'keep': 'all'} time 0 0
38 {'source': 'continuing', 'mode': 'dependencies-reclaim', 'enabled': False, 'resource': True, 'demand': 128, 'keep': '0'} time 0 0
39 {'source': 'continuing', 'mode': 'dependencies-reclaim', 'enabled': False, 'resource': True, 'demand': 128, 'keep': 'all'} time 0 0
40 {'source': 'continuing', 'mode': 'dependencies-reclaim', 'enabled': True, 'resource': False, 'demand': 32, 'keep': '0'} time 0 0
41 {'source': 'continuing', 'mode': 'dependencies-reclaim', 'enabled': True, 'resource': False, 'demand': 32, 'keep': 'all'} time 0 0
42 {'source': 'continuing', 'mode': 'dependencies-reclaim', 'enabled': True, 'resource': False, 'demand': 128, 'keep': '0'} time 0 0
43 {'source': 'continuing', 'mode': 'dependencies-reclaim', 'enabled': True, 'resource': False, 'demand': 128, 'keep': 'all'} time 0 0
44 {'source': 'continuing', 'mode': 'dependencies-reclaim', 'enabled': True, 'resource': True, 'demand': 32, 'keep': '0'} time 0 0
45 {'source': 'continuing', 'mode': 'dependencies-reclaim', 'enabled': True, 'resource': True, 'demand': 32, 'keep': 'all'} time 0 0
46 {'source': 'continuing', 'mode': 'dependencies-reclaim', 'enabled': True, 'resource': True, 'demand': 128, 'keep': '0'} time 0 0
47 {'source': 'continuing', 'mode': 'dependencies-reclaim', 'enabled': True, 'resource': True, 'demand': 128, 'keep': 'all'} time 0 0
48 {'source': 'continuing', 'mode': 'templates-reclaim', 'enabled': False, 'resource': False, 'demand': 32, 'keep': '0'} time 0 0
49 {'source': 'continuing', 'mode': 'templates-reclaim', 'enabled': False, 'resource': False, 'demand': 32, 'keep': 'all'} time 0 0
50 {'source': 'continuing', 'mode': 'templates-reclaim', 'enabled': False, 'resource': False, 'demand': 128, 'keep': '0'} time 0 0
51 {'source': 'continuing', 'mode': 'templates-reclaim', 'enabled': False, 'resource': False, 'demand': 128, 'keep': 'all'} time 0 0
52 {'source': 'continuing', 'mode': 'templates-reclaim', 'enabled': False, 'resource': True, 'demand': 32, 'keep': '0'} time 0 0
53 {'source': 'continuing', 'mode': 'templates-reclaim', 'enabled': False, 'resource': True, 'demand': 32, 'keep': 'all'} time 0 0
54 {'source': 'continuing', 'mode': 'templates-reclaim', 'enabled': False, 'resource': True, 'demand': 128, 'keep': '0'} time 0 0
55 {'source': 'continuing', 'mode': 'templates-reclaim', 'enabled': False, 'resource': True, 'demand': 128, 'keep': 'all'} time 0 0
56 {'source': 'continuing', 'mode': 'templates-reclaim', 'enabled': True, 'resource': False, 'demand': 32, 'keep': '0'} time 0 0
57 {'source': 'continuing', 'mode': 'templates-reclaim', 'enabled': True, 'resource': False, 'demand': 32, 'keep': 'all'} time 0 0
58 {'source': 'continuing', 'mode': 'templates-reclaim', 'enabled': True, 'resource': False, 'demand': 128, 'keep': '0'} time 0 0
59 {'source': 'continuing', 'mode': 'templates-reclaim', 'enabled': True, 'resource': False, 'demand': 128, 'keep': 'all'} time 0 0
60 {'source': 'continuing', 'mode': 'templates-reclaim', 'enabled': True, 'resource': True, 'demand': 32, 'keep': '0'} time 0 0
61 {'source': 'continuing', 'mode': 'templates-reclaim', 'enabled': True, 'resource': True, 'demand': 32, 'keep': 'all'} time 0 0
62 {'source': 'continuing', 'mode': 'templates-reclaim', 'enabled': True, 'resource': True, 'demand': 128, 'keep': '0'} time 0 0
63 {'source': 'continuing', 'mode': 'templates-reclaim', 'enabled': True, 'resource': True, 'demand': 128, 'keep': 'all'} time 0 0
64 {'source': 'continuing', 'mode': 'direct', 'enabled': False, 'resource': False, 'demand': 32, 'keep': '0'} time 0 0
65 {'source': 'continuing', 'mode': 'direct', 'enabled': False, 'resource': False, 'demand': 32, 'keep': 'all'} time 0 0
66 {'source': 'continuing', 'mode': 'direct', 'enabled': False, 'resource': False, 'demand': 128, 'keep': '0'} time 0 0
67 {'source': 'continuing', 'mode': 'direct', 'enabled': False, 'resource': False, 'demand': 128, 'keep': 'all'} time 0 0
68 {'source': 'continuing', 'mode': 'direct', 'enabled': False, 'resource': True, 'demand': 32, 'keep': '0'} time 0 0
69 {'source': 'continuing', 'mode': 'direct', 'enabled': False, 'resource': True, 'demand': 32, 'keep': 'all'} time 0 0
70 {'source': 'continuing', 'mode': 'direct', 'enabled': False, 'resource': True, 'demand': 128, 'keep': '0'} time 0 0
71 {'source': 'continuing', 'mode': 'direct', 'enabled': False, 'resource': True, 'demand': 128, 'keep': 'all'} time 0 0
72 {'source': 'flat', 'mode': 'dependencies', 'enabled': False, 'resource': False, 'demand': 1, 'keep': '0'} time 0 0
73 {'source': 'flat', 'mode': 'dependencies', 'enabled': False, 'resource': False, 'demand': 1, 'keep': 'all'} time 0 0
74 {'source': 'flat', 'mode': 'dependencies', 'enabled': False, 'resource': False, 'demand': 32, 'keep': '0'} time 0 0
75 {'source': 'flat', 'mode': 'dependencies', 'enabled': False, 'resource': False, 'demand': 32, 'keep': 'all'} time 0 0
76 {'source': 'flat', 'mode': 'dependencies', 'enabled': False, 'resource': True, 'demand': 1, 'keep': '0'} time 0 0
77 {'source': 'flat', 'mode': 'dependencies', 'enabled': False, 'resource': True, 'demand': 1, 'keep': 'all'} time 0 0
78 {'source': 'flat', 'mode': 'dependencies', 'enabled': False, 'resource': True, 'demand': 32, 'keep': '0'} time 0 0
79 {'source': 'flat', 'mode': 'dependencies', 'enabled': False, 'resource': True, 'demand': 32, 'keep': 'all'} time 0 0
