# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cpu_core/cycles/u'
# Event count (approx.): 9075732225
#
# Children      Self  Symbol                                                                                                                                                                                                                                                                                                                                          IPC   [IPC Coverage]
# ........  ........  ..............................................................................................................................................................................................................................................................................................................................................  ....................
#
    95.55%     0.00%  [.] 0xffffffffffffffff                                                                                                                                                                                                                                                                                                                          -      -
    83.75%    21.45%  [.] _RNvMs_NtCsgHgHTXaw02S_17chr_direct_choice6demandNtB4_3Run4tick                                                                                                                                                                                                                                                                             -      -
    82.81%     0.00%  [.] _RNvMs_NtNtCs8IslNjYkvvZ_20continuing_lifecycle4gate7runtimeNtB4_7Running4tick                                                                                                                                                                                                                                                              -      -
    78.34%     0.05%  [.] _RNvNtCs8IslNjYkvvZ_20continuing_lifecycle4gate3run                                                                                                                                                                                                                                                                                         -      -
    39.75%    32.41%  [.] _RNvMs_NtCsgHgHTXaw02S_17chr_direct_choice6demandNtB4_3Run5force                                                                                                                                                                                                                                                                            -      -
    28.99%    27.47%  [.] _RNvNvMs_NtCsgHgHTXaw02S_17chr_direct_choice6demandNtB6_3Run13finite_result5visit                                                                                                                                                                                                                                                           -      -
    17.69%     0.23%  [.] _RNvMs_NtCsgHgHTXaw02S_17chr_direct_choice6demandNtB4_3Run13finite_result                                                                                                                                                                                                                                                                   -      -
     9.23%     9.23%  [.] _RNvMs_NtCsgHgHTXaw02S_17chr_direct_choice6demandNtB4_3Run4live                                                                                                                                                                                                                                                                             -      -
     5.10%     0.00%  [.] _RNvMs_NtCsgHgHTXaw02S_17chr_direct_choice6demandNtB4_3Run7matches                                                                                                                                                                                                                                                                          -      -
     4.51%     0.05%  [.] _RNvMs_NtCsgHgHTXaw02S_17chr_direct_choice6demandNtB4_3Run8partners                                                                                                                                                                                                                                                                         -      -
     1.38%     0.76%  [.] _RNvMsi_NtNtNtCscdodAO9FK5_5alloc11collections5btree3mapINtB5_8BTreeMapjNtNtB7_7set_val9SetValZSTE6insertCsgHgHTXaw02S_17chr_direct_choice                                                                                                                                                                                                  -      -
     1.06%     0.84%  [.] _RNvXs9_NtCsgHgHTXaw02S_17chr_direct_choice6demandNtB5_4NodeNtNtCs4NRVxsYgnAr_4core5clone5Clone5clone                                                                                                                                                                                                                                       -      -


#
# (Cannot load tips.txt file, please install perf!)
#
