# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 695  of event 'cpu_core/cycles/u'
# Event count (approx.): 2488438872
#
# Children      Self  Symbol                                                                                                                                                                                                                                                                                                                                          IPC   [IPC Coverage]
# ........  ........  ..............................................................................................................................................................................................................................................................................................................................................  ....................
#
    86.76%     0.00%  [.] 0xffffffffffffffff                                                                                                                                                                                                                                                                                                                          -      -
    77.66%    10.84%  [.] _RNvMs_NtCsgHgHTXaw02S_17chr_direct_choice6demandNtB4_3Run4tick                                                                                                                                                                                                                                                                             -      -
    74.95%     0.73%  [.] _RNvNtCs8IslNjYkvvZ_20continuing_lifecycle4gate3run                                                                                                                                                                                                                                                                                         -      -
    73.02%     0.27%  [.] _RNvMs_NtNtCs8IslNjYkvvZ_20continuing_lifecycle4gate7runtimeNtB4_7Running4tick                                                                                                                                                                                                                                                              -      -
    35.30%    22.07%  [.] _RNvNvMs_NtCsgHgHTXaw02S_17chr_direct_choice6demandNtB6_3Run13finite_result5visit                                                                                                                                                                                                                                                           -      -
    33.17%     0.14%  [.] _RNvMs_NtCsgHgHTXaw02S_17chr_direct_choice6demandNtB4_3Run13finite_result                                                                                                                                                                                                                                                                   -      -
    27.53%    12.15%  [.] _RNvMs_NtCsgHgHTXaw02S_17chr_direct_choice6demandNtB4_3Run5force                                                                                                                                                                                                                                                                            -      -
    12.64%     0.00%  [.] __libc_start_main                                                                                                                                                                                                                                                                                                                           -      -
    12.64%     0.00%  [.] _start                                                                                                                                                                                                                                                                                                                                      -      -
    12.32%     0.00%  [.] _RINvNtNtCs2AWtUsOyxgP_3std3sys9backtrace28___rust_begin_short_backtraceFEuuECs8IslNjYkvvZ_20continuing_lifecycle                                                                                                                                                                                                                           -      -
    12.32%     0.00%  [.] _RNCINvNtCs2AWtUsOyxgP_3std2rt10lang_startuE0Cs8IslNjYkvvZ_20continuing_lifecycle                                                                                                                                                                                                                                                           -      -
    12.32%     0.00%  [.] _RNvNtCs2AWtUsOyxgP_3std2rt19lang_start_internal                                                                                                                                                                                                                                                                                            -      -
    12.32%     0.00%  [.] main                                                                                                                                                                                                                                                                                                                                        -      -
    10.14%     7.09%  [.] _RNvMsi_NtNtNtCscdodAO9FK5_5alloc11collections5btree3mapINtB5_8BTreeMapjNtNtB7_7set_val9SetValZSTE6insertCsgHgHTXaw02S_17chr_direct_choice                                                                                                                                                                                                  -      -
     9.96%     1.62%  [.] cfree                                                                                                                                                                                                                                                                                                                                       -      -
     8.07%     3.69%  [.] _RNvMs4_NtNtNtNtCscdodAO9FK5_5alloc11collections5btree3map5entryINtB5_11VacantEntryjjE12insert_entryCsgHgHTXaw02S_17chr_direct_choice                                                                                                                                                                                                       -      -
     6.25%     0.00%  [.] _RNvXs_NtNtCscdodAO9FK5_5alloc3vec21spec_from_iter_nestedINtB6_3VecNtNtB8_6string6StringEINtB4_18SpecFromIterNestedB12_INtNtNtNtCs4NRVxsYgnAr_4core4iter8adapters3map3MapINtNtNtB21_5slice4iter4IterTRejjNtNtCs8IslNjYkvvZ_20continuing_lifecycle4gate7ReadingEENCNvB3e_3runsb_0EE9from_iterB3g_                                            -      -
     5.50%     0.00%  [.] _RINvMs_NtCsgHgHTXaw02S_17chr_direct_choice6demandNtB5_3Run11expand_planINtNtCscdodAO9FK5_5alloc2rc2RcNtNtB5_9templates8ExprNodeENCNvB2_15expand_template0EB7_                                                                                                                                                                              -      -
     5.49%     0.14%  [.] _RNvMs4_NtCscdodAO9FK5_5alloc7raw_vecNtB5_11RawVecInner11finish_growCsgHgHTXaw02S_17chr_direct_choice.llvm.17658888269649211112                                                                                                                                                                                                             -      -
     5.49%     0.00%  [.] _RNvMs3_NtCscdodAO9FK5_5alloc7raw_vecINtB5_6RawVecNtCs5PyYPRahy7j_10chr_syntax3VarE8grow_oneCsgHgHTXaw02S_17chr_direct_choice                                                                                                                                                                                                               -      -
