# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 695  of event 'cpu_core/cycles/u'
# Event count (approx.): 2488438872
#
# Overhead  Symbol                                                                                                                                                                                                                                                                                                                         IPC   [IPC Coverage]
# ........  .............................................................................................................................................................................................................................................................................................................................  ....................
#
    22.07%  [.] _RNvNvMs_NtCsgHgHTXaw02S_17chr_direct_choice6demandNtB6_3Run13finite_result5visit                                                                                                                                                                                                                                          -      -
    12.15%  [.] _RNvMs_NtCsgHgHTXaw02S_17chr_direct_choice6demandNtB4_3Run5force                                                                                                                                                                                                                                                           -      -
    10.84%  [.] _RNvMs_NtCsgHgHTXaw02S_17chr_direct_choice6demandNtB4_3Run4tick                                                                                                                                                                                                                                                            -      -
     7.09%  [.] _RNvMsi_NtNtNtCscdodAO9FK5_5alloc11collections5btree3mapINtB5_8BTreeMapjNtNtB7_7set_val9SetValZSTE6insertCsgHgHTXaw02S_17chr_direct_choice                                                                                                                                                                                 -      -
     3.69%  [.] _RNvMs4_NtNtNtNtCscdodAO9FK5_5alloc11collections5btree3map5entryINtB5_11VacantEntryjjE12insert_entryCsgHgHTXaw02S_17chr_direct_choice                                                                                                                                                                                      -      -
     2.68%  [.] _RNvNvNtCscdodAO9FK5_5alloc3fmt6format12format_inner                                                                                                                                                                                                                                                                       -      -
     2.57%  [.] _RNvXNtNtNtCscdodAO9FK5_5alloc11collections5btree3mapINtB2_8BTreeMapNtCsgHgHTXaw02S_17chr_direct_choice5LabelbENtNtNtCs4NRVxsYgnAr_4core3ops4drop4Drop4dropB15_                                                                                                                                                            -      -
     2.18%  [.] _RINvNvXs0_NtNtNtCscdodAO9FK5_5alloc11collections5btree3mapINtB8_8BTreeMappppENtNtCs4NRVxsYgnAr_4core5clone5Clone5clone13clone_subtreejbNtNtBe_5alloc6GlobalECsgHgHTXaw02S_17chr_direct_choice.llvm.15381620640532348289                                                                                                   -      -
     2.08%  [.] _RNvXs9_NtCsgHgHTXaw02S_17chr_direct_choice6demandNtB5_4NodeNtNtCs4NRVxsYgnAr_4core5clone5Clone5clone                                                                                                                                                                                                                      -      -
     2.04%  [.] _RINvMsN_NtNtNtCscdodAO9FK5_5alloc11collections5btree4nodeINtB6_6HandleINtB6_7NodeRefNtNtB6_6marker3MutjNtNtB8_7set_val9SetValZSTNtB1m_4LeafENtB1m_4EdgeE16insert_recursingNtNtBc_5alloc6GlobalNCNvMs4_NtNtB8_3map5entryINtB3a_11VacantEntryjB1D_E12insert_entry0ECsgHgHTXaw02S_17chr_direct_choice                        -      -
     1.93%  [.] _RINvMsN_NtNtNtCscdodAO9FK5_5alloc11collections5btree4nodeINtB6_6HandleINtB6_7NodeRefNtNtB6_6marker3MutNtCs5PyYPRahy7j_10chr_syntax3VarNtCsgHgHTXaw02S_17chr_direct_choice6NodeIdNtB1m_4LeafENtB1m_4EdgeE16insert_recursingNtNtBc_5alloc6GlobalNCNvMs4_NtNtB8_3map5entryINtB3W_11VacantEntryB1C_B28_E12insert_entry0EB2a_  -      -
     1.62%  [.] cfree                                                                                                                                                                                                                                                                                                                      -      -
     1.14%  [.] 0x00000000000a1806                                                                                                                                                                                                                                                                                                         -      -


#
# (Cannot load tips.txt file, please install perf!)
#
