# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 4K of event 'cpu_core/cycles/u'
# Event count (approx.): 18396143797
#
# Children      Self  Symbol                                                                                                                                                                                                                                                                                                                                          IPC   [IPC Coverage]
# ........  ........  ..............................................................................................................................................................................................................................................................................................................................................  ....................
#
    94.55%    15.02%  [.] _RNvMs_NtCsgHgHTXaw02S_17chr_direct_choice6demandNtB4_3Run4tick                                                                                                                                                                                                                                                                             -      -
    93.58%     0.10%  [.] _RNvNtCs8IslNjYkvvZ_20continuing_lifecycle4gate3run                                                                                                                                                                                                                                                                                         -      -
    93.49%     0.08%  [.] _RNvMs_NtNtCs8IslNjYkvvZ_20continuing_lifecycle4gate7runtimeNtB4_7Running4tick                                                                                                                                                                                                                                                              -      -
    91.68%     0.00%  [.] 0xffffffffffffffff                                                                                                                                                                                                                                                                                                                          -      -
    45.05%    27.87%  [.] _RNvMs_NtCsgHgHTXaw02S_17chr_direct_choice6demandNtB4_3Run5force                                                                                                                                                                                                                                                                            -      -
    24.18%    24.18%  [.] _RNvMs_NtCsgHgHTXaw02S_17chr_direct_choice6demandNtB4_3Run4live                                                                                                                                                                                                                                                                             -      -
    23.36%    20.65%  [.] _RNvNvMs_NtCsgHgHTXaw02S_17chr_direct_choice6demandNtB6_3Run13finite_result5visit                                                                                                                                                                                                                                                           -      -
    21.77%     0.04%  [.] _RNvMs_NtCsgHgHTXaw02S_17chr_direct_choice6demandNtB4_3Run13finite_result                                                                                                                                                                                                                                                                   -      -
    12.65%     0.02%  [.] _RNvMs_NtCsgHgHTXaw02S_17chr_direct_choice6demandNtB4_3Run8partners                                                                                                                                                                                                                                                                         -      -
     5.55%     0.00%  [.] 0xffffffffffffffff                                                                                                                                                                                                                                                                                                                          -      -
     1.99%     1.48%  [.] _RNvMsi_NtNtNtCscdodAO9FK5_5alloc11collections5btree3mapINtB5_8BTreeMapjNtNtB7_7set_val9SetValZSTE6insertCsgHgHTXaw02S_17chr_direct_choice                                                                                                                                                                                                  -      -
     1.89%     0.77%  [.] _RNvMs4_NtNtNtNtCscdodAO9FK5_5alloc11collections5btree3map5entryINtB5_11VacantEntryjjE12insert_entryCsgHgHTXaw02S_17chr_direct_choice                                                                                                                                                                                                       -      -
     1.85%     0.02%  [.] _RNvMs_NtCsgHgHTXaw02S_17chr_direct_choice6demandNtB4_3Run7matches                                                                                                                                                                                                                                                                          -      -
     1.74%     0.00%  [.] _RNvNtCs2AWtUsOyxgP_3std2rt19lang_start_internal                                                                                                                                                                                                                                                                                            -      -
     1.74%     0.00%  [.] main                                                                                                                                                                                                                                                                                                                                        -      -
     1.73%     0.00%  [.] _RINvNtNtCs2AWtUsOyxgP_3std3sys9backtrace28___rust_begin_short_backtraceFEuuECs8IslNjYkvvZ_20continuing_lifecycle                                                                                                                                                                                                                           -      -
     1.73%     0.00%  [.] _RNCINvNtCs2AWtUsOyxgP_3std2rt10lang_startuE0Cs8IslNjYkvvZ_20continuing_lifecycle                                                                                                                                                                                                                                                           -      -
     1.63%     0.60%  [.] malloc                                                                                                                                                                                                                                                                                                                                      -      -
     1.58%     0.00%  [.] __libc_start_main                                                                                                                                                                                                                                                                                                                           -      -
     1.58%     0.00%  [.] _start                                                                                                                                                                                                                                                                                                                                      -      -
     1.50%     0.77%  [.] _RINvNvXs0_NtNtNtCscdodAO9FK5_5alloc11collections5btree3mapINtB8_8BTreeMappppENtNtCs4NRVxsYgnAr_4core5clone5Clone5clone13clone_subtreejbNtNtBe_5alloc6GlobalECsgHgHTXaw02S_17chr_direct_choice.llvm.15381620640532348289                                                                                                                    -      -
     1.37%     0.10%  [.] _RINvMs_NtCsgHgHTXaw02S_17chr_direct_choice6demandNtB5_3Run11expand_planINtNtCscdodAO9FK5_5alloc2rc2RcNtNtB5_9templates8ExprNodeENCNvB2_15expand_template0EB7_                                                                                                                                                                              -      -
     1.12%     0.49%  [.] _RINvMsN_NtNtNtCscdodAO9FK5_5alloc11collections5btree4nodeINtB6_6HandleINtB6_7NodeRefNtNtB6_6marker3MutNtCs5PyYPRahy7j_10chr_syntax3VarNtCsgHgHTXaw02S_17chr_direct_choice6NodeIdNtB1m_4LeafENtB1m_4EdgeE16insert_recursingNtNtBc_5alloc6GlobalNCNvMs4_NtNtB8_3map5entryINtB3W_11VacantEntryB1C_B28_E12insert_entry0EB2a_                   -      -
     1.11%     0.02%  [.] _RNvMs4_NtCscdodAO9FK5_5alloc7raw_vecNtB5_11RawVecInner11finish_growCsgHgHTXaw02S_17chr_direct_choice.llvm.17658888269649211112                                                                                                                                                                                                             -      -


#
# (Cannot load tips.txt file, please install perf!)
#
