built ordinary meter
built ordinary time
built combined meter
built combined time
built reverse meter
built reverse time
meter 48 / 384
meter 96 / 384
meter 144 / 384
meter 192 / 384
meter 240 / 384
meter 288 / 384
meter 336 / 384
meter 384 / 384
time 48 / 960
time 96 / 960
time 144 / 960
time 192 / 960
time 240 / 960
time 288 / 960
time 336 / 960
time 384 / 960
time 432 / 960
time 480 / 960
time 528 / 960
time 576 / 960
time 624 / 960
time 672 / 960
time 720 / 960
time 768 / 960
time 816 / 960
time 864 / 960
time 912 / 960
time 960 / 960
