   Compiling chr-direct-conditional v0.1.0 (/home/ahart/Documents/CHRLang/research/chr-direct-conditional)
warning: associated function `new` is never used
  --> research/chr-direct-conditional/tests/composition_support/mod.rs:15:12
   |
14 | impl Engine {
   | ----------- associated function in this implementation
15 |     pub fn new(mode: usize, rules: &[Rule], query: &Query) -> Self {
   |            ^^^
   |
   = note: `#[warn(dead_code)]` (part of `#[warn(unused)]`) on by default

warning: `chr-direct-conditional` (test "broad_mixed") generated 1 warning
    Finished `test` profile [unoptimized + debuginfo] target(s) in 0.42s
     Running tests/broad_mixed.rs (target/debug/deps/broad_mixed-c2f9ff4803ee5fa0)

running 1 test
qualified independent n=0 seed=0 mode=0
qualified independent n=0 seed=0 mode=1
qualified independent n=0 seed=0 mode=2
qualified independent n=0 seed=0 mode=3
qualified independent n=0 seed=0 mode=4
qualified independent n=0 seed=0 mode=5
qualified independent n=0 seed=0 mode=6
qualified independent n=0 seed=1 mode=0
qualified independent n=0 seed=1 mode=1
qualified independent n=0 seed=1 mode=2
qualified independent n=0 seed=1 mode=3
qualified independent n=0 seed=1 mode=4
qualified independent n=0 seed=1 mode=5
qualified independent n=0 seed=1 mode=6
qualified independent n=1 seed=0 mode=0
qualified independent n=1 seed=0 mode=1
qualified independent n=1 seed=0 mode=2
qualified independent n=1 seed=0 mode=3
qualified independent n=1 seed=0 mode=4
qualified independent n=1 seed=0 mode=5
qualified independent n=1 seed=0 mode=6
qualified independent n=1 seed=1 mode=0
qualified independent n=1 seed=1 mode=1
qualified independent n=1 seed=1 mode=2
qualified independent n=1 seed=1 mode=3
qualified independent n=1 seed=1 mode=4
qualified independent n=1 seed=1 mode=5
qualified independent n=1 seed=1 mode=6
qualified independent n=3 seed=0 mode=0
qualified independent n=3 seed=0 mode=1
qualified independent n=3 seed=0 mode=2
qualified independent n=3 seed=0 mode=3
qualified independent n=3 seed=0 mode=4
qualified independent n=3 seed=0 mode=5
qualified independent n=3 seed=0 mode=6
qualified independent n=3 seed=1 mode=0
qualified independent n=3 seed=1 mode=1
qualified independent n=3 seed=1 mode=2
qualified independent n=3 seed=1 mode=3
qualified independent n=3 seed=1 mode=4
qualified independent n=3 seed=1 mode=5
qualified independent n=3 seed=1 mode=6
qualified shared n=0 seed=0 mode=0
qualified shared n=0 seed=0 mode=1
qualified shared n=0 seed=0 mode=2
qualified shared n=0 seed=0 mode=3
qualified shared n=0 seed=0 mode=4
qualified shared n=0 seed=0 mode=5
qualified shared n=0 seed=0 mode=6
qualified shared n=0 seed=1 mode=0
qualified shared n=0 seed=1 mode=1
qualified shared n=0 seed=1 mode=2
qualified shared n=0 seed=1 mode=3
qualified shared n=0 seed=1 mode=4
qualified shared n=0 seed=1 mode=5
qualified shared n=0 seed=1 mode=6
qualified shared n=1 seed=0 mode=0
qualified shared n=1 seed=0 mode=1
qualified shared n=1 seed=0 mode=2
qualified shared n=1 seed=0 mode=3
qualified shared n=1 seed=0 mode=4
qualified shared n=1 seed=0 mode=5
qualified shared n=1 seed=0 mode=6
qualified shared n=1 seed=1 mode=0
qualified shared n=1 seed=1 mode=1
qualified shared n=1 seed=1 mode=2
qualified shared n=1 seed=1 mode=3
qualified shared n=1 seed=1 mode=4
qualified shared n=1 seed=1 mode=5
qualified shared n=1 seed=1 mode=6
qualified shared n=3 seed=0 mode=0
qualified shared n=3 seed=0 mode=1
qualified shared n=3 seed=0 mode=2
qualified shared n=3 seed=0 mode=3
qualified shared n=3 seed=0 mode=4
qualified shared n=3 seed=0 mode=5
qualified shared n=3 seed=0 mode=6
qualified shared n=3 seed=1 mode=0
qualified shared n=3 seed=1 mode=1
qualified shared n=3 seed=1 mode=2
qualified shared n=3 seed=1 mode=3
qualified shared n=3 seed=1 mode=4
qualified shared n=3 seed=1 mode=5
qualified shared n=3 seed=1 mode=6
qualified delayed n=0 seed=0 mode=0
qualified delayed n=0 seed=0 mode=1
qualified delayed n=0 seed=0 mode=2
qualified delayed n=0 seed=0 mode=3
qualified delayed n=0 seed=0 mode=4
qualified delayed n=0 seed=0 mode=5
qualified delayed n=0 seed=0 mode=6
qualified delayed n=0 seed=1 mode=0
qualified delayed n=0 seed=1 mode=1
qualified delayed n=0 seed=1 mode=2
qualified delayed n=0 seed=1 mode=3
qualified delayed n=0 seed=1 mode=4
qualified delayed n=0 seed=1 mode=5
qualified delayed n=0 seed=1 mode=6
qualified delayed n=1 seed=0 mode=0
qualified delayed n=1 seed=0 mode=1
qualified delayed n=1 seed=0 mode=2
qualified delayed n=1 seed=0 mode=3
qualified delayed n=1 seed=0 mode=4
qualified delayed n=1 seed=0 mode=5
qualified delayed n=1 seed=0 mode=6
qualified delayed n=1 seed=1 mode=0
qualified delayed n=1 seed=1 mode=1
qualified delayed n=1 seed=1 mode=2
qualified delayed n=1 seed=1 mode=3
qualified delayed n=1 seed=1 mode=4
qualified delayed n=1 seed=1 mode=5
qualified delayed n=1 seed=1 mode=6
qualified delayed n=3 seed=0 mode=0
qualified delayed n=3 seed=0 mode=1
qualified delayed n=3 seed=0 mode=2
qualified delayed n=3 seed=0 mode=3
qualified delayed n=3 seed=0 mode=4
qualified delayed n=3 seed=0 mode=5
qualified delayed n=3 seed=0 mode=6
qualified delayed n=3 seed=1 mode=0
qualified delayed n=3 seed=1 mode=1
qualified delayed n=3 seed=1 mode=2
qualified delayed n=3 seed=1 mode=3
qualified delayed n=3 seed=1 mode=4
qualified delayed n=3 seed=1 mode=5
qualified delayed n=3 seed=1 mode=6
qualified early n=0 seed=0 mode=0
