mode,family,n,reuse,consumer,requested_bytes,peak_above_start,consumer_retained_bytes,wall_median_ns,wall_min_ns,wall_max_ns
scan,independent,0,1,query,24615,9770,0,29527,29316,34257
scan,independent,0,1,prepared,24615,9770,151,29573,21855,36813
scan,independent,0,4,query,42150,9770,0,50033,44900,62772
scan,independent,0,4,prepared,42150,10223,604,47241,28529,49098
scan,independent,1,1,query,51972,19829,0,73750,51384,98151
scan,independent,1,1,prepared,51972,19829,2132,75014,48047,90068
scan,independent,1,4,query,140055,20043,0,182827,178299,218139
scan,independent,1,4,prepared,140055,26439,8528,189021,179637,207827
scan,independent,3,1,query,216084,81893,0,312106,242407,395053
scan,independent,3,1,prepared,216084,81893,22016,302953,194318,333365
scan,independent,3,4,query,776529,81893,0,996640,625404,1085327
scan,independent,3,4,prepared,776529,147477,88064,1148721,722976,1979993
scan,shared,0,1,query,24615,9770,0,31592,28460,35613
scan,shared,0,1,prepared,24615,9770,151,29656,18625,34345
scan,shared,0,4,query,42150,9770,0,48699,26759,57398
scan,shared,0,4,prepared,42150,10223,604,52338,31416,69268
scan,shared,1,1,query,51972,19829,0,70017,59946,72724
scan,shared,1,1,prepared,51972,19829,2132,77343,74496,86847
scan,shared,1,4,query,140055,20043,0,179087,117112,195565
scan,shared,1,4,prepared,140055,26439,8528,178392,103011,215220
scan,shared,3,1,query,129186,35213,0,203804,135275,304719
scan,shared,3,1,prepared,129186,35213,5600,174373,139200,212335
scan,shared,3,4,query,428937,40364,0,547080,348622,581611
scan,shared,3,4,prepared,428937,57164,22400,689280,417326,858976
scan,delayed,0,1,query,25015,9962,0,27554,17452,27922
scan,delayed,0,1,prepared,25015,9962,151,28014,26698,29976
scan,delayed,0,4,query,42550,9962,0,44452,30419,45917
scan,delayed,0,4,prepared,42550,10415,604,49505,26647,58203
scan,delayed,1,1,query,57252,20245,0,98462,54970,219877
scan,delayed,1,1,prepared,57252,20245,2132,84184,52181,104823
scan,delayed,1,4,query,159975,20459,0,223462,213858,247238
scan,delayed,1,4,prepared,159975,26855,8528,213340,151664,228861
scan,delayed,3,1,query,271188,89765,0,393862,309185,477713
scan,delayed,3,1,prepared,271188,89765,22016,420012,391175,464998
scan,delayed,3,4,query,995745,89765,0,1442537,825838,1940973
scan,delayed,3,4,prepared,995745,155349,88064,1529756,851208,1629090
scan,early,0,1,query,23931,9433,0,29489,28833,38147
scan,early,0,1,prepared,23931,9433,151,30312,28973,31990
scan,early,0,4,query,41466,9433,0,44246,31083,168850
scan,early,0,4,prepared,41466,9886,604,47133,45211,58037
scan,early,1,1,query,45405,17236,0,59047,50566,72706
scan,early,1,1,prepared,45405,17236,1018,59775,54636,62700
scan,early,1,4,query,116431,17236,0,146052,140193,156503
scan,early,1,4,prepared,116431,20290,4072,150522,145594,178858
scan,early,3,1,query,89304,24608,0,125165,82279,145089
scan,early,3,1,prepared,89304,24608,2752,127053,90333,134152
scan,early,3,4,query,273237,24608,0,354922,343911,430216
scan,early,3,4,prepared,273237,32864,11008,351843,345326,406335
scan,late,0,1,query,24817,9866,0,32583,27317,37356
scan,late,0,1,prepared,24817,9866,151,27640,21012,29527
scan,late,0,4,query,42352,9866,0,45248,43991,50479
scan,late,0,4,prepared,42352,10319,604,46724,33753,60962
scan,late,1,1,query,51260,19917,0,72179,60128,101520
scan,late,1,1,prepared,51260,19917,1018,81746,72362,114353
scan,late,1,4,query,136601,20323,0,186315,173278,191382
scan,late,1,4,prepared,136601,23377,4072,179470,128391,311021
scan,late,3,1,query,114435,35459,0,164037,163972,205615
scan,late,3,1,prepared,114435,35459,2752,183574,99360,244607
scan,late,3,4,query,358319,35459,0,586876,278124,709944
scan,late,3,4,prepared,358319,40963,11008,591191,347927,726522
scan,history,0,1,query,24615,9770,0,31089,28839,40819
scan,history,0,1,prepared,24615,9770,151,29426,18045,31659
scan,history,0,4,query,42150,9770,0,52233,47738,54092
scan,history,0,4,prepared,42150,10223,604,50184,27537,57791
scan,history,1,1,query,123008,40487,0,215150,134772,225599
scan,history,1,1,prepared,123008,40487,8812,220075,157425,231578
scan,history,1,4,query,383567,40487,0,702903,396882,711702
scan,history,1,4,prepared,383567,66923,35248,704785,414486,841365
scan,history,3,1,query,745720,292871,0,1605946,891711,1699198
scan,history,3,1,prepared,745720,292871,102496,1604050,884843,2244361
scan,history,3,4,query,2804281,292871,0,3886712,3686296,4156730
scan,history,3,4,prepared,2804281,599335,409984,3956257,3482126,4063870
scan,deep,0,1,query,26247,10586,0,35156,33014,39775
scan,deep,0,1,prepared,26247,10586,151,33286,28405,36079
scan,deep,0,4,query,43782,10586,0,51722,49021,56782
scan,deep,0,4,prepared,43782,11039,604,52378,33022,60331
scan,deep,1,1,query,66620,26857,0,98441,96047,131710
scan,deep,1,1,prepared,66620,26857,3764,110937,103011,132400
scan,deep,1,4,query,193751,26857,0,225140,157596,371921
scan,deep,1,4,prepared,193751,38149,15056,266128,259601,309417
scan,deep,3,1,query,391948,176105,0,388664,306666,532828
scan,deep,3,1,prepared,391948,176105,41600,385922,294351,513216
scan,deep,3,4,query,1475089,176105,0,1494762,1262275,1833991
scan,deep,3,4,prepared,1475089,299881,166400,1467264,1158285,2578185
indexed,independent,0,1,query,24615,9770,0,29450,21977,31750
indexed,independent,0,1,prepared,24615,9770,151,31775,29287,36964
indexed,independent,0,4,query,42150,9770,0,53422,45934,61766
indexed,independent,0,4,prepared,42150,10223,604,49926,46683,63092
indexed,independent,1,1,query,59220,25797,0,90185,84920,110675
indexed,independent,1,1,prepared,59220,25797,2132,84847,52011,98983
indexed,independent,1,4,query,169047,26011,0,224061,129315,253669
indexed,independent,1,4,prepared,169047,32407,8528,217858,134818,365629
indexed,independent,3,1,query,255588,107645,0,366889,249870,403097
indexed,independent,3,1,prepared,255588,107645,22016,359029,246022,426668
