mode,family,n,reuse,requested_bytes,peak_above_start,wall_median_ns,wall_min_ns,wall_max_ns
original-scan,plain,0,1,14230,6463,17280,9556,18279
original-scan,plain,0,4,27199,6463,29324,16197,33739
original-scan,plain,1,1,23197,9205,31337,17126,31921
original-scan,plain,1,4,54355,9205,68040,49271,69325
original-scan,plain,3,1,38625,12133,51391,32667,58204
original-scan,plain,3,4,103815,12133,134522,130869,143365
original-scan,choices,0,1,15486,7088,16926,16168,17303
original-scan,choices,0,4,28455,7088,28743,17583,29888
original-scan,choices,1,1,31829,14050,35637,24856,37450
original-scan,choices,1,4,85115,14050,95385,51841,122965
original-scan,choices,3,1,106413,47236,122930,74874,130868
original-scan,choices,3,4,371199,47236,244291,217083,401625
original-scan,duplicates,0,1,15486,7088,17064,16310,17837
original-scan,duplicates,0,4,28455,7088,27538,14896,29451
original-scan,duplicates,1,1,31077,13541,39181,26900,42942
original-scan,duplicates,1,4,82107,13541,86842,86072,102958
original-scan,duplicates,3,1,103987,45053,127956,120887,137193
original-scan,duplicates,3,4,361495,45053,369789,307396,392499
original-scan,shared,0,1,15486,7088,16887,9274,18362
original-scan,shared,0,4,28455,7088,29046,17778,33734
original-scan,shared,1,1,31829,14050,37205,36174,42724
original-scan,shared,1,4,85115,14050,88090,86841,93996
original-scan,shared,3,1,71801,26119,85091,57942,109133
original-scan,shared,3,4,232751,26119,235098,137952,247116
original-scan,spare,0,1,19670,8346,24040,18259,27550
original-scan,spare,0,4,41921,8346,47779,30679,56503
original-scan,spare,1,1,29593,10857,39507,37826,43576
original-scan,spare,1,4,71359,10857,87932,85410,101476
original-scan,spare,3,1,46701,14019,58896,35444,69903
original-scan,spare,3,4,125907,14019,150100,88018,158868
original-indexed,plain,0,1,14230,6463,18479,17532,21736
original-indexed,plain,0,4,27199,6463,28982,18339,30501
original-indexed,plain,1,1,28757,11653,36318,21029,41399
original-indexed,plain,1,4,70139,11653,78116,42820,102560
original-indexed,plain,3,1,48745,17019,68206,41018,107953
original-indexed,plain,3,4,137839,17019,170215,165236,268791
original-indexed,choices,0,1,15486,7088,16669,9551,27956
original-indexed,choices,0,4,28455,7088,30108,17719,35272
original-indexed,choices,1,1,37453,15698,44722,43934,50507
original-indexed,choices,1,4,101155,15698,112097,101328,253880
original-indexed,choices,3,1,126605,53828,142846,142204,152505
original-indexed,choices,3,4,445511,53828,466791,271878,579478
original-indexed,duplicates,0,1,15486,7088,16644,9205,17680
original-indexed,duplicates,0,4,28455,7088,16065,15192,28760
original-indexed,duplicates,1,1,36701,15189,44607,30890,47814
original-indexed,duplicates,1,4,98147,15189,99415,97277,136988
original-indexed,duplicates,3,1,124179,51645,145148,142332,232899
original-indexed,duplicates,3,4,435807,51645,448733,441290,479112
original-indexed,shared,0,1,15486,7088,17174,16321,17900
original-indexed,shared,0,4,28455,7088,27524,27037,28820
original-indexed,shared,1,1,37453,15698,44668,44048,46659
original-indexed,shared,1,4,101155,15698,101602,100646,114587
original-indexed,shared,3,1,91193,36263,108638,105382,120154
original-indexed,shared,3,4,303863,36263,319007,178552,330189
original-indexed,spare,0,1,23662,10602,28296,18026,28980
original-indexed,spare,0,4,53257,10602,52459,35075,57104
original-indexed,spare,1,1,36113,13905,45923,36434,52575
original-indexed,spare,1,4,90983,13905,106823,58076,108939
original-indexed,spare,3,1,57781,20393,74101,45712,80611
original-indexed,spare,3,4,163771,20393,199017,127635,218202
original-special,plain,0,1,16590,6567,17464,16969,19783
original-special,plain,0,4,29559,6567,31098,29571,33008
original-special,plain,1,1,25557,9309,32829,32298,39666
original-special,plain,1,4,56715,9309,68174,43826,75938
original-special,plain,3,1,40985,12237,49926,30289,159681
original-special,plain,3,4,106175,12237,131054,129751,137305
original-special,choices,0,1,17846,7192,18550,10263,19585
original-special,choices,0,4,30815,7192,29416,18036,33821
original-special,choices,1,1,34189,14154,39397,29791,78000
original-special,choices,1,4,87475,14154,90527,90279,100681
original-special,choices,3,1,108773,47340,122743,122337,124217
original-special,choices,3,4,373559,47340,380833,268169,530957
original-special,duplicates,0,1,17846,7192,18735,18457,19831
original-special,duplicates,0,4,30815,7192,29799,28856,37175
original-special,duplicates,1,1,33437,13645,37637,25468,39163
original-special,duplicates,1,4,84467,13645,88857,49596,94940
original-special,duplicates,3,1,106347,45157,133781,121204,162993
original-special,duplicates,3,4,363855,45157,365740,241310,393305
original-special,shared,0,1,17846,7192,18668,18307,20587
original-special,shared,0,4,30815,7192,29648,29088,34547
original-special,shared,1,1,34189,14154,38389,21956,42916
original-special,shared,1,4,87475,14154,90623,88549,112216
original-special,shared,3,1,74161,26223,89123,72939,100131
original-special,shared,3,4,235111,26223,242399,238331,244832
original-special,spare,0,1,22030,8450,28005,27189,29616
original-special,spare,0,4,44281,8450,56131,52439,58948
original-special,spare,1,1,31953,10961,41599,25021,46218
original-special,spare,1,4,73719,10961,91216,63476,100337
original-special,spare,3,1,49061,14123,64152,60597,70964
original-special,spare,3,4,128267,14123,157724,91815,158425
original-contextual,plain,0,1,5334,3709,7278,5161,7376
original-contextual,plain,0,4,9825,3709,11741,6338,12199
original-contextual,plain,1,1,23078,6349,21951,12472,23344
original-contextual,plain,1,4,66818,6349,48308,31188,49326
