mode,family,n,reuse,requested_bytes,peak_above_start,wall_median_ns,wall_min_ns,wall_max_ns
original-contextual,plain,0,1,5350,3717,9799,8298,10394
original-contextual,plain,0,4,9865,3717,15268,13687,16767
original-contextual,plain,1,1,23094,6357,28163,25506,45972
original-contextual,plain,1,4,66858,6357,66804,40039,74441
original-contextual,plain,3,1,118832,22054,98643,94051,114597
original-contextual,plain,3,4,409466,22054,309877,264844,319708
original-contextual,choices,0,1,5978,4345,10834,6597,14220
original-contextual,choices,0,4,10493,4345,16303,16040,20160
original-contextual,choices,1,1,27918,9112,35797,22505,36525
original-contextual,choices,1,4,84270,9112,83020,50450,101662
original-contextual,choices,3,1,227416,31783,204558,127190,217145
original-contextual,choices,3,4,841918,31783,457511,439184,728533
original-contextual,duplicates,0,1,5978,4345,9423,6319,11062
original-contextual,duplicates,0,4,10493,4345,15058,10491,18088
original-contextual,duplicates,1,1,27918,9112,37548,32291,41434
original-contextual,duplicates,1,4,84270,9112,79945,46792,89728
original-contextual,duplicates,3,1,227416,31783,211247,186336,217549
original-contextual,duplicates,3,4,841918,31783,475917,424262,584427
original-contextual,shared,0,1,5978,4345,9588,8966,10682
original-contextual,shared,0,4,10493,4345,15461,14450,19077
original-contextual,shared,1,1,27918,9112,38593,22729,39927
original-contextual,shared,1,4,84270,9112,74792,72124,91896
original-contextual,shared,3,1,187680,31783,158253,113085,178644
original-contextual,shared,3,4,682974,31783,492974,285212,526710
original-contextual,spare,0,1,10630,5601,15692,9585,17671
original-contextual,spare,0,4,23065,5601,28787,18662,38936
original-contextual,spare,1,1,64246,19174,65270,55313,71099
original-contextual,spare,1,4,218266,19174,173060,101512,181678
original-contextual,spare,3,1,298392,47254,215351,188900,278421
original-contextual,spare,3,4,1096746,47254,691563,598413,836486
original-contextual,history,0,1,5897,4136,10738,9301,12319
original-contextual,history,0,4,10652,4136,16507,14767,18387
original-contextual,history,1,1,58561,18448,76831,63830,97120
original-contextual,history,1,4,187801,18448,257063,218491,295345
original-contextual,history,3,1,224195,48036,279985,170359,302277
original-contextual,history,3,4,779753,48036,841794,507229,846066
original-demand,plain,0,1,6438,3892,8566,6341,10679
original-demand,plain,0,4,12585,3892,14264,8192,16834
original-demand,plain,1,1,23662,6718,26983,26512,30273
original-demand,plain,1,4,67618,6718,49451,33202,59647
original-demand,plain,3,1,51964,10631,52637,47168,59733
original-demand,plain,3,4,168082,10631,124005,101934,141218
original-demand,choices,0,1,7066,4520,9077,6285,14181
original-demand,choices,0,4,13213,4520,18096,15526,25274
original-demand,choices,1,1,28742,9112,35124,27396,41081
original-demand,choices,1,4,86054,9112,65779,37256,79824
original-demand,choices,3,1,126752,26528,107675,89212,149899
original-demand,choices,3,4,465350,26528,342419,290876,410767
original-demand,duplicates,0,1,7066,4520,9603,5331,10309
original-demand,duplicates,0,4,13213,4520,16124,9720,17590
original-demand,duplicates,1,1,28742,9112,30200,29103,39039
original-demand,duplicates,1,4,86054,9112,75573,70397,88193
original-demand,duplicates,3,1,126752,26528,120996,103425,136491
original-demand,duplicates,3,4,465350,26528,402471,265161,458880
original-demand,shared,0,1,7066,4520,10319,10074,10792
original-demand,shared,0,4,13213,4520,16720,8505,17402
original-demand,shared,1,1,28742,9112,32545,29853,41286
original-demand,shared,1,4,86054,9112,73072,46650,82248
original-demand,shared,3,1,85288,15098,82711,71407,104942
original-demand,shared,3,4,299494,15098,235079,165041,243460
original-demand,spare,0,1,11718,5601,16643,11595,19252
original-demand,spare,0,4,25785,5601,33577,22402,35353
original-demand,spare,1,1,29318,8534,34769,23194,81546
original-demand,spare,1,4,82058,8534,83890,79257,94386
original-demand,spare,3,1,58580,12543,64516,32539,66706
original-demand,spare,3,4,183770,12543,149992,114202,151632
original-demand,history,0,1,7481,4311,11383,9974,11623
original-demand,history,0,4,14612,4311,11826,9941,18859
original-demand,history,1,1,197145,17296,122300,98019,145061
original-demand,history,1,4,740625,17296,427095,292651,525377
original-demand,history,3,1,1253559,44580,509735,384543,633385
original-demand,history,3,4,4923297,44580,1632402,1415238,2354538
fused-contextual,plain,0,1,9876,5807,18497,9293,21478
fused-contextual,plain,0,4,14166,5807,23956,12814,26258
fused-contextual,plain,1,1,32432,8447,45218,37753,48121
fused-contextual,plain,1,4,73601,8447,64547,34678,82615
fused-contextual,plain,3,1,871670,118594,487296,423984,504486
fused-contextual,plain,3,4,2290673,118594,1198178,882102,1255054
fused-contextual,choices,0,1,11763,7063,18824,9804,20133
fused-contextual,choices,0,4,16053,7063,26310,21357,27095
fused-contextual,choices,1,1,38679,11798,45369,22963,52026
fused-contextual,choices,1,4,92220,11798,99947,56138,182283
fused-contextual,choices,3,1,1109741,172461,493915,368417,651823
fused-contextual,choices,3,4,3236588,172461,1402253,1283761,1553118
fused-contextual,duplicates,0,1,11763,7063,20057,11171,21376
fused-contextual,duplicates,0,4,16053,7063,22497,22161,30201
fused-contextual,duplicates,1,1,38679,11798,48810,32782,52725
fused-contextual,duplicates,1,4,92220,11798,84825,56864,98850
fused-contextual,duplicates,3,1,1109741,172461,604824,397319,655977
fused-contextual,duplicates,3,4,3236588,172461,1497852,1238361,1878762
fused-contextual,shared,0,1,11763,7063,16184,9431,19663
fused-contextual,shared,0,4,16053,7063,26732,22776,28092
fused-contextual,shared,1,1,38679,11798,45310,33338,52512
fused-contextual,shared,1,4,92220,11798,99420,83041,101424
fused-contextual,shared,3,1,1074537,172461,522551,393877,598295
fused-contextual,shared,3,4,3095772,172461,1655220,1196483,1690553
fused-contextual,spare,0,1,17820,7691,26546,22383,29609
fused-contextual,spare,0,4,34026,7691,39623,38377,44676
fused-contextual,spare,1,1,272896,42802,176667,141440,186207
fused-contextual,spare,1,4,676213,42802,420325,260933,453955
fused-contextual,spare,3,1,4190358,531674,2011812,1745205,2120368
fused-contextual,spare,3,4,11514933,531674,3644512,3097995,4748508
fused-contextual,history,0,1,10718,6385,16021,12368,23089
fused-contextual,history,0,4,15248,6385,24029,12869,26358
fused-contextual,history,1,1,67554,20697,116125,72598,119057
fused-contextual,history,1,4,194391,20697,278034,231370,302999
fused-contextual,history,3,1,982800,131488,571728,412174,640225
fused-contextual,history,3,4,2668743,131488,1719724,1136672,2012411
fused-demand,plain,0,1,10468,5998,17131,14381,19780
fused-demand,plain,0,4,15646,5998,23079,20668,26642
fused-demand,plain,1,1,31272,9178,37914,31878,49441
fused-demand,plain,1,4,71145,9178,69507,35524,71655
fused-demand,plain,3,1,55346,13283,69909,58123,83339
fused-demand,plain,3,4,152129,13283,133277,120319,156144
fused-demand,choices,0,1,12355,7254,17812,16256,21616
fused-demand,choices,0,4,17533,7254,17494,12826,32588
fused-demand,choices,1,1,37519,11798,40078,37874,49470
fused-demand,choices,1,4,89764,11798,87753,77098,99721
fused-demand,choices,3,1,119949,29022,117660,85646,134377
fused-demand,choices,3,4,404172,29022,376161,318086,422701
fused-demand,duplicates,0,1,12355,7254,20441,16018,21742
fused-demand,duplicates,0,4,17533,7254,27442,23191,29584
fused-demand,duplicates,1,1,37519,11798,41678,29984,46747
fused-demand,duplicates,1,4,89764,11798,90825,51580,93976
fused-demand,duplicates,3,1,119949,29022,135125,97184,139823
fused-demand,duplicates,3,4,404172,29022,249481,232709,376485
fused-demand,shared,0,1,12355,7254,16056,11156,20319
fused-demand,shared,0,4,17533,7254,23851,13781,25407
fused-demand,shared,1,1,37519,11798,39682,22846,51104
fused-demand,shared,1,4,89764,11798,89391,80832,98804
fused-demand,shared,3,1,85017,17720,91420,63095,105896
fused-demand,shared,3,4,264444,17720,211650,198316,251935
fused-demand,spare,0,1,18412,7691,28218,16394,30097
fused-demand,spare,0,4,35506,7691,44682,26256,53886
fused-demand,spare,1,1,36296,10994,40929,29568,65364
fused-demand,spare,1,4,85157,10994,99858,54285,120176
fused-demand,spare,3,1,60562,15195,66527,50351,87943
fused-demand,spare,3,4,166621,15195,119636,100098,190823
