mode,family,n,reuse,consumer,form,build,analysis_bytes,requested_bytes,peak_above_start,consumer_retained_bytes,wall_median_ns,wall_min_ns,wall_max_ns
scan,dynamic_alias,0,1,query,original,conservative,0,11270,5248,0,13514,8998,22325
scan,dynamic_alias,0,1,query,original,precise,0,11270,5248,0,13276,9371,19601
scan,dynamic_alias,0,1,query,eliminated,conservative,935,12205,5248,0,16564,15026,20235
scan,dynamic_alias,0,1,query,eliminated,precise,935,12205,5248,0,14767,13862,15265
scan,dynamic_alias,0,1,prepared,original,conservative,0,11270,5248,151,13900,8791,18914
scan,dynamic_alias,0,1,prepared,original,precise,0,11270,5248,151,7945,7418,10221
scan,dynamic_alias,0,1,prepared,eliminated,conservative,935,12205,5248,151,14201,14006,15061
scan,dynamic_alias,0,1,prepared,eliminated,precise,935,12205,5248,151,13767,10058,14088
scan,dynamic_alias,0,4,query,original,conservative,0,22547,5248,0,22228,12924,31850
scan,dynamic_alias,0,4,query,original,precise,0,22547,5248,0,19735,13115,20220
scan,dynamic_alias,0,4,query,eliminated,conservative,935,23482,5248,0,14687,12121,25278
scan,dynamic_alias,0,4,query,eliminated,precise,935,23482,5248,0,24199,16230,34273
scan,dynamic_alias,0,4,prepared,original,conservative,0,22547,5701,604,22905,15763,23554
scan,dynamic_alias,0,4,prepared,original,precise,0,22547,5701,604,22381,14920,23567
scan,dynamic_alias,0,4,prepared,eliminated,conservative,935,23482,5701,604,24303,18170,25778
scan,dynamic_alias,0,4,prepared,eliminated,precise,935,23482,5701,604,23183,13365,24932
scan,dynamic_alias,3,1,query,original,conservative,0,341574,59015,0,697236,446117,749596
scan,dynamic_alias,3,1,query,original,precise,0,341574,59015,0,698680,418761,829159
scan,dynamic_alias,3,1,query,eliminated,conservative,935,342509,59015,0,701079,411133,887955
scan,dynamic_alias,3,1,query,eliminated,precise,935,342509,59015,0,704561,385144,759306
scan,dynamic_alias,3,1,prepared,original,conservative,0,341574,59015,12055,727407,383729,841150
scan,dynamic_alias,3,1,prepared,original,precise,0,341574,59015,12055,620323,396889,712187
scan,dynamic_alias,3,1,prepared,eliminated,conservative,935,342509,59015,12055,717003,445020,735233
scan,dynamic_alias,3,1,prepared,eliminated,precise,935,342509,59015,12055,404775,392550,844553
scan,dynamic_alias,3,4,query,original,conservative,0,1180347,59015,0,1484696,1476660,2821112
scan,dynamic_alias,3,4,query,original,precise,0,1180347,59015,0,2622232,1596097,2686326
scan,dynamic_alias,3,4,query,eliminated,conservative,935,1181282,59015,0,2611867,1474411,2814076
scan,dynamic_alias,3,4,query,eliminated,precise,935,1181282,59015,0,1625552,1504183,2217801
scan,dynamic_alias,3,4,prepared,original,conservative,0,1180347,95180,48220,1722935,1446977,2779682
scan,dynamic_alias,3,4,prepared,original,precise,0,1180347,95180,48220,1726283,1461145,1881991
scan,dynamic_alias,3,4,prepared,eliminated,conservative,935,1181282,95180,48220,1799047,1625438,2394485
scan,dynamic_alias,3,4,prepared,eliminated,precise,935,1181282,95180,48220,2023920,1446391,2862755
contextual,dynamic_alias,0,1,query,original,conservative,0,4394,2919,0,6469,4371,8076
contextual,dynamic_alias,0,1,query,original,precise,0,4394,2919,0,6533,6494,8288
contextual,dynamic_alias,0,1,query,eliminated,conservative,935,5329,2919,0,7751,7273,11731
contextual,dynamic_alias,0,1,query,eliminated,precise,935,5329,2919,0,7381,5264,12274
contextual,dynamic_alias,0,1,prepared,original,conservative,0,4394,3070,151,6030,5102,6883
contextual,dynamic_alias,0,1,prepared,original,precise,0,4394,3070,151,6519,6432,6589
contextual,dynamic_alias,0,1,prepared,eliminated,conservative,935,5329,3070,151,8018,7323,8791
contextual,dynamic_alias,0,1,prepared,eliminated,precise,935,5329,3070,151,7531,7296,8692
contextual,dynamic_alias,0,4,query,original,conservative,0,8501,2919,0,10478,9601,18794
contextual,dynamic_alias,0,4,query,original,precise,0,8501,2919,0,9941,6692,12666
contextual,dynamic_alias,0,4,query,eliminated,conservative,935,9436,2919,0,8042,7316,11654
contextual,dynamic_alias,0,4,query,eliminated,precise,935,9436,2919,0,14803,10766,18444
contextual,dynamic_alias,0,4,prepared,original,conservative,0,8501,3523,604,10680,10579,11979
contextual,dynamic_alias,0,4,prepared,original,precise,0,8501,3523,604,11937,5956,37914
contextual,dynamic_alias,0,4,prepared,eliminated,conservative,935,9436,3523,604,11898,6575,13312
contextual,dynamic_alias,0,4,prepared,eliminated,precise,935,9436,3523,604,11739,11174,13195
contextual,dynamic_alias,3,1,query,original,conservative,0,3993513,61662,0,1712794,1319992,2068596
contextual,dynamic_alias,3,1,query,original,precise,0,1530153,59125,0,624330,539236,692288
contextual,dynamic_alias,3,1,query,eliminated,conservative,935,3994448,61662,0,1272683,1084857,1648486
contextual,dynamic_alias,3,1,query,eliminated,precise,935,1531088,59125,0,492154,440160,706028
contextual,dynamic_alias,3,1,prepared,original,conservative,0,3993513,65989,12055,1260126,1042993,1778707
contextual,dynamic_alias,3,1,prepared,original,precise,0,1530153,65989,12055,702803,475477,750875
contextual,dynamic_alias,3,1,prepared,eliminated,conservative,935,3994448,65989,12055,1650209,1038311,2296091
contextual,dynamic_alias,3,1,prepared,eliminated,precise,935,1531088,65989,12055,696162,686010,739575
contextual,dynamic_alias,3,4,query,original,conservative,0,15661500,61662,0,4841065,4083754,5250252
contextual,dynamic_alias,3,4,query,original,precise,0,5808060,59125,0,2011361,1646781,2718094
