mode,family,n,reuse,consumer,form,build,analysis_bytes,requested_bytes,peak_above_start,consumer_retained_bytes,wall_median_ns,wall_min_ns,wall_max_ns
scan,stable_history,0,1,query,original,conservative,0,9009,4589,0,8702,7420,12927
scan,stable_history,0,1,query,original,precise,0,9009,4589,0,11798,7416,20189
scan,stable_history,0,1,query,eliminated,conservative,349,9358,4589,0,13289,12835,15589
scan,stable_history,0,1,query,eliminated,precise,349,9358,4589,0,13579,8501,13776
scan,stable_history,0,1,prepared,original,conservative,0,9009,4628,151,13114,9184,14452
scan,stable_history,0,1,prepared,original,precise,0,9009,4628,151,9450,7453,14001
scan,stable_history,0,1,prepared,eliminated,conservative,349,9358,4628,151,13599,7129,14380
scan,stable_history,0,1,prepared,eliminated,precise,349,9358,4628,151,13611,12990,15092
scan,stable_history,0,4,query,original,conservative,0,18792,4589,0,17048,10466,27009
scan,stable_history,0,4,query,original,precise,0,18792,4589,0,16844,11364,18592
scan,stable_history,0,4,query,eliminated,conservative,349,19141,4589,0,20760,18029,30642
scan,stable_history,0,4,query,eliminated,precise,349,19141,4589,0,19442,18067,25507
scan,stable_history,0,4,prepared,original,conservative,0,18792,5081,604,19783,18637,24725
scan,stable_history,0,4,prepared,original,precise,0,18792,5081,604,21352,18964,26385
scan,stable_history,0,4,prepared,eliminated,conservative,349,19141,5081,604,19455,12174,20830
scan,stable_history,0,4,prepared,eliminated,precise,349,19141,5081,604,20132,19514,32361
scan,stable_history,3,1,query,original,conservative,0,180685,43446,0,362017,299033,580788
scan,stable_history,3,1,query,original,precise,0,180685,43446,0,549824,280234,659736
scan,stable_history,3,1,query,eliminated,conservative,349,181034,43446,0,360561,303235,590285
scan,stable_history,3,1,query,eliminated,precise,349,181034,43446,0,596793,332044,618926
scan,stable_history,3,1,prepared,original,conservative,0,180685,43446,10211,480097,288290,581026
scan,stable_history,3,1,prepared,original,precise,0,180685,43446,10211,545747,375109,578322
scan,stable_history,3,1,prepared,eliminated,conservative,349,181034,43446,10211,366510,322532,610898
scan,stable_history,3,1,prepared,eliminated,precise,349,181034,43446,10211,547116,285207,580315
scan,stable_history,3,4,query,original,conservative,0,605896,43446,0,1993648,1035575,2103023
scan,stable_history,3,4,query,original,precise,0,605896,43446,0,1671234,1028665,2183345
scan,stable_history,3,4,query,eliminated,conservative,349,606245,43446,0,1107650,1047662,2110581
scan,stable_history,3,4,query,eliminated,precise,349,606245,43446,0,1994165,1227949,2030369
scan,stable_history,3,4,prepared,original,conservative,0,605896,74079,40844,2049628,1056230,2120102
scan,stable_history,3,4,prepared,original,precise,0,605896,74079,40844,2048634,1377172,2213099
scan,stable_history,3,4,prepared,eliminated,conservative,349,606245,74079,40844,2049755,1193508,2099098
scan,stable_history,3,4,prepared,eliminated,precise,349,606245,74079,40844,1221235,1057889,1872500
scan,reset_history,0,1,query,original,conservative,0,9393,4781,0,13231,12680,13923
scan,reset_history,0,1,query,original,precise,0,9393,4781,0,13544,12878,14746
scan,reset_history,0,1,query,eliminated,conservative,541,9934,4781,0,13710,13105,14914
scan,reset_history,0,1,query,eliminated,precise,541,9934,4781,0,14070,13334,14865
scan,reset_history,0,1,prepared,original,conservative,0,9393,4820,151,14359,13173,27807
scan,reset_history,0,1,prepared,original,precise,0,9393,4820,151,13075,12971,14932
