family,n,reuse,consumer,before_bytes,after_bytes,after_peak,retained_bytes
history,1,4,prepared,2485545,2441001,77282,45616
late,0,4,prepared,43625,43049,13532,1180
deep,0,1,prepared,22260,22116,13362,295
independent,0,1,prepared,21444,21300,12546,295
shared,0,4,prepared,43524,42948,13431,1180
late,0,1,prepared,21545,21401,12647,295
late,0,1,query,21545,21401,12647,0
early,1,4,prepared,336011,332171,22376,4648
shared,1,4,query,492537,484857,21076,0
shared,1,1,query,137217,135297,21076,0
deep,1,4,prepared,722153,696041,44981,16208
early,1,4,query,336011,332171,18890,0
deep,3,1,prepared,1233013,1156981,100191,42752
history,3,4,query,17126779,16601467,180606,0
history,0,4,prepared,43524,42948,13431,1180
early,0,1,query,21102,20958,12204,0
independent,1,4,query,492537,484857,21076,0
independent,1,4,prepared,492537,484857,28336,9680
independent,0,1,query,21444,21300,12546,0
deep,0,4,prepared,44340,43764,14247,1180
deep,3,1,query,1233013,1156981,100191,0
shared,0,1,prepared,21444,21300,12546,295
history,1,1,prepared,649401,638265,43070,11404
independent,3,4,query,3513563,3430619,61788,0
independent,0,4,prepared,43524,42948,13431,1180
delayed,0,1,query,21644,21500,12746,0
delayed,1,1,prepared,188457,186537,21392,2420
shared,3,4,prepared,3182075,3161339,63980,23552
late,3,1,prepared,838407,835815,43864,2896
independent,3,1,query,899813,879077,61788,0
deep,1,4,query,722153,696041,32825,0
shared,3,1,query,816029,810845,46316,0
delayed,1,1,query,188457,186537,21392,0
late,3,4,prepared,3261492,3251124,52552,11584
delayed,3,4,prepared,5225283,5142339,134216,92672
history,0,4,query,43524,42948,12546,0
deep,1,1,query,195233,188705,32825,0
history,0,1,prepared,21444,21300,12546,295
early,0,4,query,43182,42606,12204,0
early,1,1,query,92165,91205,18866,0
late,1,1,prepared,138555,137595,20065,1162
early,1,1,prepared,92165,91205,18866,1162
early,0,1,prepared,21102,20958,12204,295
early,3,4,query,1873461,1863093,34384,0
delayed,0,1,prepared,21644,21500,12746,295
early,3,1,prepared,470491,467899,34312,2896
late,3,1,query,838407,835815,43864,0
delayed,0,4,query,43724,43148,12746,0
shared,1,4,prepared,492537,484857,28336,9680
shared,1,1,prepared,137217,135297,21076,2420
late,1,4,prepared,497586,493746,23586,4648
deep,0,1,query,22260,22116,13362,0
deep,3,4,query,4843915,4539787,100191,0
late,1,1,query,138555,137595,20065,0
independent,3,1,prepared,899813,879077,61788,23168
early,0,4,prepared,43182,42606,13089,1180
deep,3,4,prepared,4843915,4539787,228447,171008
history,1,4,query,2485545,2441001,43070,0
delayed,3,1,prepared,1327893,1307157,64712,23168
independent,1,1,prepared,137217,135297,21076,2420
late,1,4,query,497586,493746,20100,0
history,3,1,query,4334013,4202685,180606,0
delayed,3,4,query,5225283,5142339,64712,0
deep,0,4,query,44340,43764,13362,0
history,1,1,query,649401,638265,43070,0
shared,3,1,prepared,816029,810845,46316,5888
shared,0,4,query,43524,42948,12546,0
independent,1,1,query,137217,135297,21076,0
independent,0,4,query,43524,42948,12546,0
early,3,1,query,470491,467899,34312,0
late,3,4,query,3261492,3251124,43864,0
history,3,4,prepared,17126779,16601467,509614,439168
history,3,1,prepared,4334013,4202685,180606,109792
independent,3,4,prepared,3513563,3430619,131292,92672
delayed,0,4,prepared,43724,43148,13631,1180
history,0,1,query,21444,21300,12546,0
late,0,4,query,43625,43049,12647,0
shared,3,4,query,3182075,3161339,46316,0
delayed,1,4,prepared,696897,689217,28652,9680
delayed,1,4,query,696897,689217,21392,0
deep,1,1,prepared,195233,188705,32825,4052
early,3,4,prepared,1873461,1863093,43072,11584
shared,0,1,query,21444,21300,12546,0
delayed,3,1,query,1327893,1307157,64712,0
