build,mode,family,n,reuse,consumer,requested_bytes,peak_above_start,consumer_retained_bytes,wall_median_ns,wall_min_ns,wall_max_ns
filtered,conditional,incompatible,0,1,query,60801,9262,0,57735,55871,74077
filtered,conditional,incompatible,0,1,prepared,60801,9703,786,90309,76005,98069
filtered,conditional,incompatible,0,4,query,124377,9262,0,152198,99847,173939
filtered,conditional,incompatible,0,4,prepared,124377,12061,3144,137494,87470,264402
filtered,conditional,incompatible,1,1,query,68826,9751,0,92194,60854,115025
filtered,conditional,incompatible,1,1,prepared,68826,10480,892,98809,67691,107079
filtered,conditional,incompatible,1,4,query,144267,9751,0,168700,163764,195398
filtered,conditional,incompatible,1,4,prepared,144267,13156,3568,164345,125108,185937
filtered,conditional,incompatible,3,1,query,120055,15151,0,158811,101867,191007
filtered,conditional,incompatible,3,1,prepared,120055,15904,2786,153125,142346,239250
filtered,conditional,incompatible,3,4,query,279607,15151,0,346360,237083,523748
filtered,conditional,incompatible,3,4,prepared,279607,24262,11144,363598,311060,392765
filtered,conditional,correlated,0,1,query,70310,10120,0,93126,62780,108106
filtered,conditional,correlated,0,1,prepared,70310,10611,886,87387,65478,91520
filtered,conditional,correlated,0,4,query,146447,10120,0,201309,163325,224103
filtered,conditional,correlated,0,4,prepared,146447,13269,3544,179462,124979,193669
filtered,conditional,correlated,1,1,query,121648,12030,0,150169,87581,194231
filtered,conditional,correlated,1,1,prepared,121648,12030,1684,162529,148358,192191
filtered,conditional,correlated,1,4,query,317476,12030,0,375814,213431,393701
filtered,conditional,correlated,1,4,prepared,317476,17082,6736,390877,235282,457209
filtered,conditional,correlated,3,1,query,543453,25346,0,765217,487650,4147059
filtered,conditional,correlated,3,1,prepared,543453,26618,6886,581401,417926,753640
filtered,conditional,correlated,3,4,query,1955142,25346,0,1598818,1143495,2858938
filtered,conditional,correlated,3,4,prepared,1955142,47276,27544,1424345,1141249,2701777
filtered,conditional,independent_suffix,0,1,query,77962,11150,0,124218,107386,130954
filtered,conditional,independent_suffix,0,1,prepared,77962,11497,1580,111516,102524,135568
filtered,conditional,independent_suffix,0,4,query,169258,11150,0,209121,140516,276834
filtered,conditional,independent_suffix,0,4,prepared,169258,16237,6320,212496,120974,263998
filtered,conditional,independent_suffix,1,1,query,169944,14346,0,230298,151592,292932
filtered,conditional,independent_suffix,1,1,prepared,169944,14346,3176,246027,176492,304863
filtered,conditional,independent_suffix,1,4,query,508914,14346,0,746755,457783,797626
filtered,conditional,independent_suffix,1,4,prepared,508914,23874,12704,673290,385723,714314
filtered,conditional,independent_suffix,3,1,query,1106553,36680,0,1369873,749082,1519947
filtered,conditional,independent_suffix,3,1,prepared,1106553,36680,13580,913722,767465,1523186
filtered,conditional,independent_suffix,3,4,query,4204185,36680,0,3427620,2762324,3749238
filtered,conditional,independent_suffix,3,4,prepared,4204185,77420,54320,3447418,3118848,3576380
filtered,conditional,dense_suffix,0,1,query,54697,8389,0,74908,40131,76054
filtered,conditional,dense_suffix,0,1,prepared,54697,8784,395,77423,66424,91021
filtered,conditional,dense_suffix,0,4,query,110545,8389,0,140356,95466,170700
filtered,conditional,dense_suffix,0,4,prepared,110545,9969,1580,153295,82836,193875
filtered,conditional,dense_suffix,1,1,query,94143,9562,0,110798,108004,115391
filtered,conditional,dense_suffix,1,1,prepared,94143,10356,794,116630,61238,137361
filtered,conditional,dense_suffix,1,4,query,210231,9562,0,192915,134965,321039
filtered,conditional,dense_suffix,1,4,prepared,210231,12738,3176,260041,156166,279273
filtered,conditional,dense_suffix,3,1,query,303766,17239,0,360911,232615,433198
filtered,conditional,dense_suffix,3,1,prepared,303766,17239,3395,318292,266660,516255
filtered,conditional,dense_suffix,3,4,query,1008694,17239,0,1001678,574633,1059460
filtered,conditional,dense_suffix,3,4,prepared,1008694,27424,13580,1002711,664785,1288027
filtered,conditional,independent,0,1,query,36276,12706,0,33610,31081,35445
filtered,conditional,independent,0,1,prepared,36276,13001,295,31658,31383,46241
filtered,conditional,independent,0,4,query,58404,12706,0,48792,38292,60017
filtered,conditional,independent,0,4,prepared,58404,13886,1180,52826,48759,63121
filtered,conditional,independent,1,1,query,181989,21396,0,288811,239907,297700
filtered,conditional,independent,1,1,prepared,181989,21396,2420,248833,176994,382267
filtered,conditional,independent,1,4,query,535536,21396,0,702902,660879,881450
filtered,conditional,independent,1,4,prepared,535536,28656,9680,576871,392573,758626
filtered,conditional,independent,3,1,query,923775,62428,0,818350,739432,1270700
filtered,conditional,independent,3,1,prepared,923775,62428,23168,1026251,777710,1329091
filtered,conditional,independent,3,4,query,3473070,62428,0,3591998,2651292,3904301
filtered,conditional,independent,3,4,prepared,3473070,131932,92672,3476556,3241387,4755170
filtered,conditional,delayed,0,1,query,36476,12906,0,29765,18732,38081
filtered,conditional,delayed,0,1,prepared,36476,13201,295,38247,33893,42939
filtered,conditional,delayed,0,4,query,58604,12906,0,49523,33674,58737
filtered,conditional,delayed,0,4,prepared,58604,14086,1180,49100,32098,67017
filtered,conditional,delayed,1,1,query,232050,21712,0,325589,230169,436149
filtered,conditional,delayed,1,1,prepared,232050,21712,2420,395825,352873,400873
filtered,conditional,delayed,1,4,query,738981,21712,0,1073247,621553,1301886
filtered,conditional,delayed,1,4,prepared,738981,28972,9680,750958,544203,1159728
filtered,conditional,delayed,3,1,query,1352119,65352,0,1275190,1016077,2153787
filtered,conditional,delayed,3,1,prepared,1352119,65352,23168,1425258,1001232,2159439
filtered,conditional,delayed,3,4,query,5185846,65352,0,4600863,4289946,5371828
filtered,conditional,delayed,3,4,prepared,5185846,134856,92672,5135928,4618247,8241556
filtered,conditional,early,0,1,query,35934,12364,0,32976,32547,36507
filtered,conditional,early,0,1,prepared,35934,12659,295,38325,35045,44639
filtered,conditional,early,0,4,query,58062,12364,0,49374,37591,67732
filtered,conditional,early,0,4,prepared,58062,13544,1180,49977,47689,57722
filtered,conditional,early,1,1,query,137343,19186,0,186242,112788,210591
