build,mode,family,n,reuse,consumer,requested_bytes,peak_above_start,consumer_retained_bytes,wall_median_ns,wall_min_ns,wall_max_ns
prefix,conditional,incompatible,0,1,query,63928,10062,0,,,
prefix,conditional,incompatible,0,1,prepared,63928,10503,786,,,
prefix,conditional,incompatible,0,4,query,129880,10062,0,,,
prefix,conditional,incompatible,0,4,prepared,129880,12861,3144,,,
prefix,conditional,incompatible,1,1,query,68858,10527,0,,,
prefix,conditional,incompatible,1,1,prepared,68858,11021,892,,,
prefix,conditional,incompatible,1,4,query,143099,10527,0,,,
prefix,conditional,incompatible,1,4,prepared,143099,13697,3568,,,
prefix,conditional,incompatible,3,1,query,130391,18159,0,,,
prefix,conditional,incompatible,3,1,prepared,130391,19408,2786,,,
prefix,conditional,incompatible,3,4,query,278447,18159,0,,,
prefix,conditional,incompatible,3,4,prepared,278447,27766,11144,,,
prefix,conditional,correlated,0,1,query,73470,10920,0,,,
prefix,conditional,correlated,0,1,prepared,73470,11411,886,,,
prefix,conditional,correlated,0,4,query,151983,10920,0,,,
prefix,conditional,correlated,0,4,prepared,151983,14069,3544,,,
prefix,conditional,correlated,1,1,query,120512,12782,0,,,
prefix,conditional,correlated,1,1,prepared,120512,12782,1684,,,
prefix,conditional,correlated,1,4,query,314324,12782,0,,,
prefix,conditional,correlated,1,4,prepared,314324,17834,6736,,,
prefix,conditional,correlated,3,1,query,530485,27426,0,,,
prefix,conditional,correlated,3,1,prepared,530485,27426,6886,,,
prefix,conditional,correlated,3,4,query,1885558,27426,0,,,
prefix,conditional,correlated,3,4,prepared,1885558,48084,27544,,,
prefix,conditional,independent_suffix,0,1,query,80930,11950,0,,,
prefix,conditional,independent_suffix,0,1,prepared,80930,12297,1580,,,
prefix,conditional,independent_suffix,0,4,query,174602,11950,0,,,
prefix,conditional,independent_suffix,0,4,prepared,174602,17037,6320,,,
prefix,conditional,independent_suffix,1,1,query,174728,15146,0,,,
prefix,conditional,independent_suffix,1,1,prepared,174728,15146,3176,,,
prefix,conditional,independent_suffix,1,4,query,529322,15146,0,,,
prefix,conditional,independent_suffix,1,4,prepared,529322,24674,12704,,,
prefix,conditional,independent_suffix,3,1,query,1120297,39880,0,,,
prefix,conditional,independent_suffix,3,1,prepared,1120297,39880,13580,,,
prefix,conditional,independent_suffix,3,4,query,4235185,39880,0,,,
prefix,conditional,independent_suffix,3,4,prepared,4235185,80620,54320,,,
prefix,conditional,dense_suffix,0,1,query,57529,9189,0,,,
prefix,conditional,dense_suffix,0,1,prepared,57529,9584,395,,,
prefix,conditional,dense_suffix,0,4,query,115753,9189,0,,,
prefix,conditional,dense_suffix,0,4,prepared,115753,10769,1580,,,
prefix,conditional,dense_suffix,1,1,query,96398,10362,0,,,
prefix,conditional,dense_suffix,1,1,prepared,96398,11156,794,,,
prefix,conditional,dense_suffix,1,4,query,214742,10362,0,,,
prefix,conditional,dense_suffix,1,4,prepared,214742,13538,3176,,,
prefix,conditional,dense_suffix,3,1,query,321758,20439,0,,,
prefix,conditional,dense_suffix,3,1,prepared,321758,20439,3395,,,
prefix,conditional,dense_suffix,3,4,query,1040150,20439,0,,,
prefix,conditional,dense_suffix,3,4,prepared,1040150,30624,13580,,,
prefix,conditional,independent,0,1,query,39476,13506,0,,,
prefix,conditional,independent,0,1,prepared,39476,13801,295,,,
prefix,conditional,independent,0,4,query,64004,13506,0,,,
prefix,conditional,independent,0,4,prepared,64004,14686,1180,,,
prefix,conditional,independent,1,1,query,191077,22996,0,,,
prefix,conditional,independent,1,1,prepared,191077,22996,2420,,,
prefix,conditional,independent,1,4,query,550624,22996,0,,,
prefix,conditional,independent,1,4,prepared,550624,30256,9680,,,
prefix,conditional,independent,3,1,query,950639,65628,0,,,
prefix,conditional,independent,3,1,prepared,950639,65628,23168,,,
prefix,conditional,independent,3,4,query,3534158,65628,0,,,
prefix,conditional,independent,3,4,prepared,3534158,135132,92672,,,
prefix,conditional,delayed,0,1,query,39676,13706,0,,,
prefix,conditional,delayed,0,1,prepared,39676,14001,295,,,
prefix,conditional,delayed,0,4,query,64204,13706,0,,,
prefix,conditional,delayed,0,4,prepared,64204,14886,1180,,,
prefix,conditional,delayed,1,1,query,240882,23312,0,,,
prefix,conditional,delayed,1,1,prepared,240882,23312,2420,,,
prefix,conditional,delayed,1,4,query,753765,23312,0,,,
prefix,conditional,delayed,1,4,prepared,753765,30572,9680,,,
prefix,conditional,delayed,3,1,query,1378935,68552,0,,,
prefix,conditional,delayed,3,1,prepared,1378935,68552,23168,,,
prefix,conditional,delayed,3,4,query,5246742,68552,0,,,
prefix,conditional,delayed,3,4,prepared,5246742,138056,92672,,,
prefix,conditional,early,0,1,query,39134,13164,0,,,
prefix,conditional,early,0,1,prepared,39134,13459,295,,,
prefix,conditional,early,0,4,query,63662,13164,0,,,
prefix,conditional,early,0,4,prepared,63662,14344,1180,,,
prefix,conditional,early,1,1,query,146623,20786,0,,,
prefix,conditional,early,1,1,prepared,146623,20786,1162,,,
prefix,conditional,early,1,4,query,397516,20810,0,,,
prefix,conditional,early,1,4,prepared,397516,24296,4648,,,
prefix,conditional,early,3,1,query,517157,37936,0,,,
prefix,conditional,early,3,1,prepared,517157,37936,2896,,,
prefix,conditional,early,3,4,query,1877416,38008,0,,,
prefix,conditional,early,3,4,prepared,1877416,46696,11584,,,
