mode,family,choices,depth,reuse,requested_bytes,peak_above_start
demand,independent,3,16,4,2707379,42353
conditional,common,0,4,1,123574,15711
special,common,0,0,4,59856,9328
contextual,early,0,64,1,1596446,48907
shared,early,3,64,4,24867705,119487
conditional,common,3,0,4,434147,20656
indexed,common,0,16,4,264572,21294
special,common,0,0,1,26547,9328
demand,independent,3,64,4,8866643,64721
scan,independent,0,16,1,70091,16710
scan,independent,0,16,4,203744,16726
indexed,independent,0,4,4,109980,12706
shared,independent,3,16,1,1472835,84875
scan,common,3,4,1,154126,60324
shared,early,3,0,1,67363,20888
special,common,3,0,1,107010,50846
shared,early,0,16,4,593832,17275
special,common,0,16,1,72219,17196
scan,early,3,64,4,2448288,119879
scan,common,0,4,1,33755,10714
indexed,common,3,16,4,1708174,124877
contextual,common,0,0,4,61624,7141
contextual,early,0,16,4,593736,17355
demand,common,0,64,1,325582,26179
conditional,common,0,64,4,24780405,433538
conditional,early,3,64,1,7622207,436703
shared,early,0,16,1,158646,17275
special,early,0,0,1,26547,9328
conditional,early,0,16,1,596890,48130
indexed,common,0,64,4,917452,50526
conditional,independent,0,0,4,188705,11811
conditional,independent,0,0,1,54671,11811
demand,common,3,16,1,630976,36076
indexed,early,0,0,4,70964,11026
indexed,common,3,64,4,5935870,281453
scan,early,0,0,4,58552,8938
indexed,independent,3,64,4,5749236,293826
demand,common,0,0,1,21678,6861
demand,common,3,16,4,2474098,36076
indexed,common,3,4,1,191997,73709
special,early,0,16,1,72219,17196
shared,early,3,16,1,586229,41743
conditional,common,3,0,1,117995,20656
demand,early,3,16,1,331682,23474
scan,independent,3,0,1,139084,59775
demand,early,0,4,1,40390,7723
demand,common,0,4,1,40390,7723
shared,independent,0,0,1,20374,6989
conditional,common,3,4,1,185978,24076
scan,common,3,0,4,372522,50288
special,independent,0,16,1,71987,17100
conditional,early,0,64,4,24780405,433538
demand,common,0,0,4,68352,6861
conditional,early,0,0,4,190561,11907
shared,early,3,4,4,511745,22044
demand,common,0,64,4,1227184,26179
special,independent,3,4,1,185616,64873
contextual,common,3,16,1,1127168,71132
contextual,independent,3,16,1,1459461,84321
special,early,3,4,4,318616,33393
scan,early,3,0,1,65148,27503
contextual,independent,3,64,1,13605253,221465
special,early,3,64,4,2449144,120469
shared,early,0,4,4,133904,8147
scan,independent,0,0,1,24051,8842
indexed,common,0,4,4,110332,12802
special,early,3,64,1,617452,120469
demand,early,0,64,1,325582,26179
contextual,early,0,64,4,6308648,48907
indexed,common,0,64,1,266266,50510
shared,common,3,64,4,49572114,210790
contextual,common,0,0,1,20494,7141
contextual,common,0,64,4,6308648,48907
special,independent,3,16,4,1352560,98000
indexed,early,3,16,1,258027,66528
demand,early,3,0,4,225133,18147
demand,early,3,4,4,482885,18587
conditional,early,0,4,4,455821,15711
contextual,early,3,64,4,24841749,118754
scan,independent,0,64,1,220619,41510
indexed,early,0,64,4,917452,50526
indexed,early,0,0,1,27938,11026
contextual,common,3,64,1,12364608,208860
contextual,common,3,0,1,105088,29005
indexed,early,3,4,4,398140,39760
indexed,common,3,0,4,455238,64445
demand,common,3,0,4,393698,28933
conditional,early,3,16,4,2897430,52303
special,common,3,16,1,334354,91590
scan,independent,3,4,1,183408,64315
scan,independent,0,4,4,89248,10618
special,early,3,0,1,67636,28093
shared,common,3,64,1,12377630,210790
conditional,early,3,16,1,746247,52303
contextual,common,0,64,1,1596446,48907
scan,common,0,4,4,89600,10714
contextual,independent,0,0,1,20350,7045
contextual,common,0,4,1,39494,8227
special,common,0,64,4,739304,42012
demand,independent,0,0,1,21534,6765
shared,common,3,16,1,1140654,71686
demand,independent,0,16,1,97726,11587
special,independent,3,16,1,368068,98000
shared,independent,3,64,1,13618499,223283
scan,common,0,0,4,58552,8938
contextual,early,3,16,4,2271157,42274
shared,common,0,4,1,39518,8147
special,early,0,4,4,90904,11104
shared,common,3,16,4,4505978,72638
shared,independent,3,16,4,5828219,85827
special,common,3,0,4,372258,50846
indexed,early,3,16,4,932668,66528
shared,early,0,0,1,20518,7085
special,independent,3,0,4,480664,60333
conditional,independent,3,16,1,5524298,323486
demand,early,0,16,1,97870,11683
conditional,independent,3,64,4,210860544,3346366
conditional,independent,3,16,4,21994808,323486
shared,common,3,0,1,115210,35063
scan,common,0,16,4,204096,16822
conditional,independent,3,4,1,1343190,84503
conditional,independent,0,64,4,24778549,433442
contextual,early,0,16,1,158622,17355
shared,early,3,4,1,134865,22044
special,early,0,64,4,739304,42012
indexed,independent,0,64,4,917100,50430
shared,independent,0,64,1,1596326,48731
conditional,independent,0,4,1,123038,15615
demand,independent,0,64,4,1226896,26083
conditional,early,3,64,4,30233630,436703
shared,common,3,4,1,251414,38807
contextual,early,0,0,4,61624,7141
