family,choices,depth,history,reverse,consumer,mode,counted,median_ns,min_ns,max_ns,requested_bytes,peak_excess,signal_limited
common,0,0,False,False,all,active-indexed,False,136211,131031,207750,88891,17334,False
common,0,0,False,False,all,active-indexed,True,155424,134119,220729,95272,17861,False
common,0,0,False,False,all,active-native-indexed,False,172148,133366,216192,89147,17358,False
common,0,0,False,False,all,active-native-indexed,True,167140,154841,301681,95528,17885,False
common,0,0,False,False,all,active-native-scan,False,150135,139380,162842,81691,16270,False
common,0,0,False,False,all,active-native-scan,True,167042,142467,291264,88072,16797,False
common,0,0,False,False,all,active-scan,False,124226,116792,148805,78587,16038,False
common,0,0,False,False,all,active-scan,True,148347,130551,267035,84968,16565,False
common,0,0,False,False,all,birth,False,126684,89252,178018,79483,17641,False
common,0,0,False,False,all,birth,True,118513,111914,168397,85864,18168,False
common,0,0,False,False,all,birth-miss,False,95900,87989,123989,79455,17649,False
common,0,0,False,False,all,birth-miss,True,120443,112287,162876,85836,18176,False
common,0,0,False,False,all,birth-miss-template,False,120311,108446,160728,95715,20425,False
common,0,0,False,False,all,birth-miss-template,True,152963,142359,241001,102096,20952,False
common,0,0,False,False,all,conditional,False,264718,237312,358288,273432,21786,False
common,0,0,False,False,all,conditional,True,287952,250898,487207,279813,22313,False
common,0,0,False,False,all,indexed,False,149460,136387,267254,96003,17382,False
common,0,0,False,False,all,indexed,True,153266,140081,171070,102384,17909,False
common,0,0,False,False,all,native-indexed,False,158981,151521,499701,93507,17278,False
common,0,0,False,False,all,native-indexed,True,160110,151484,234686,99888,17805,False
common,0,0,False,False,all,native-scan,False,145037,123129,149849,78555,15190,False
common,0,0,False,False,all,native-scan,True,169563,135605,211244,84936,15717,False
common,0,0,False,False,all,scan,False,110329,102548,163018,74843,14958,False
common,0,0,False,False,all,scan,True,147115,98970,522225,81224,15485,False
common,0,0,False,False,all,sealed-indexed,False,160880,133777,188901,96625,18046,False
common,0,0,False,False,all,sealed-indexed,True,155412,145804,203736,103006,18573,False
common,0,0,False,False,all,sealed-scan,False,136129,112591,190824,75465,15622,False
common,0,0,False,False,all,sealed-scan,True,138223,120817,187529,81846,16149,False
common,0,0,False,False,immediate,active-indexed,False,137290,130575,234833,88891,15126,False
common,0,0,False,False,immediate,active-indexed,True,160740,148618,285887,95272,15653,False
common,0,0,False,False,immediate,active-native-indexed,False,166456,119697,260629,89147,15150,False
common,0,0,False,False,immediate,active-native-indexed,True,159063,146499,250973,95528,15677,False
common,0,0,False,False,immediate,active-native-scan,False,126195,120072,199626,81691,14062,False
common,0,0,False,False,immediate,active-native-scan,True,166507,138194,202732,88072,14589,False
common,0,0,False,False,immediate,active-scan,False,146867,107761,234704,78587,13830,False
common,0,0,False,False,immediate,active-scan,True,146859,136185,172576,84968,14357,False
common,0,0,False,False,immediate,birth,False,88645,85497,126206,79483,13921,False
common,0,0,False,False,immediate,birth,True,114729,99840,132837,85864,14448,False
common,0,0,False,False,immediate,birth-miss,False,87125,65398,90706,79455,13929,False
common,0,0,False,False,immediate,birth-miss,True,118951,108367,154500,85836,14456,False
common,0,0,False,False,immediate,birth-miss-template,False,115638,103488,152141,95715,16705,False
common,0,0,False,False,immediate,birth-miss-template,True,130474,120131,158480,102096,17232,False
common,0,0,False,False,immediate,conditional,False,258710,242169,273761,273432,19434,False
common,0,0,False,False,immediate,conditional,True,262140,260229,389815,279813,19961,False
common,0,0,False,False,immediate,indexed,False,132620,112842,147950,96003,15174,False
common,0,0,False,False,immediate,indexed,True,157980,134486,176865,102384,15701,False
common,0,0,False,False,immediate,native-indexed,False,166742,110661,187602,93507,15070,False
common,0,0,False,False,immediate,native-indexed,True,193716,164622,219434,99888,15597,False
common,0,0,False,False,immediate,native-scan,False,144600,113412,181427,78555,12982,False
common,0,0,False,False,immediate,native-scan,True,142938,134314,167089,84936,13509,False
common,0,0,False,False,immediate,scan,False,110033,88442,176721,74843,12750,False
common,0,0,False,False,immediate,scan,True,128444,114695,168448,81224,13277,False
common,0,0,False,False,immediate,sealed-indexed,False,172602,159178,190260,96625,15838,False
common,0,0,False,False,immediate,sealed-indexed,True,154698,141536,331169,103006,16365,False
common,0,0,False,False,immediate,sealed-scan,False,132069,102542,140564,75465,13414,False
common,0,0,False,False,immediate,sealed-scan,True,133624,105741,148098,81846,13941,False
common,0,0,False,False,window,active-indexed,False,130623,110942,169785,88891,16598,False
common,0,0,False,False,window,active-indexed,True,139724,124901,236205,95272,17125,False
common,0,0,False,False,window,active-native-indexed,False,147143,124313,201710,89147,16622,False
common,0,0,False,False,window,active-native-indexed,True,178536,159854,259329,95528,17149,False
common,0,0,False,False,window,active-native-scan,False,153840,127075,297479,81691,15534,False
common,0,0,False,False,window,active-native-scan,True,155424,140210,248179,88072,16061,False
common,0,0,False,False,window,active-scan,False,121780,118553,179531,78587,15302,False
common,0,0,False,False,window,active-scan,True,145018,130040,173459,84968,15829,False
common,0,0,False,False,window,birth,False,89367,80083,194465,79483,16401,False
common,0,0,False,False,window,birth,True,125427,116311,150867,85864,16928,False
common,0,0,False,False,window,birth-miss,False,93167,86103,128452,79455,16409,False
common,0,0,False,False,window,birth-miss,True,125625,110675,162268,85836,16936,False
common,0,0,False,False,window,birth-miss-template,False,109941,102045,177065,95715,19185,False
common,0,0,False,False,window,birth-miss-template,True,136394,132197,231231,102096,19712,False
common,0,0,False,False,window,conditional,False,308471,256686,336005,273432,21002,False
common,0,0,False,False,window,conditional,True,293048,266166,392554,279813,21529,False
common,0,0,False,False,window,indexed,False,143851,127533,211233,96003,16646,False
common,0,0,False,False,window,indexed,True,141271,137099,308613,102384,17173,False
common,0,0,False,False,window,native-indexed,False,140773,129885,251584,93507,16542,False
common,0,0,False,False,window,native-indexed,True,176535,132098,223329,99888,17069,False
common,0,0,False,False,window,native-scan,False,132476,110399,198812,78555,14454,False
common,0,0,False,False,window,native-scan,True,145431,134722,176859,84936,14981,False
common,0,0,False,False,window,scan,False,114016,98596,187244,74843,14222,False
common,0,0,False,False,window,scan,True,144654,114294,184924,81224,14749,False
common,0,0,False,False,window,sealed-indexed,False,140159,119651,200637,96625,17310,False
common,0,0,False,False,window,sealed-indexed,True,145760,134154,230439,103006,17837,False
common,0,0,False,False,window,sealed-scan,False,115531,98715,152348,75465,14886,False
common,0,0,False,False,window,sealed-scan,True,139657,112769,187462,81846,15413,False
common,0,0,False,True,all,active-indexed,False,134875,123921,204039,88507,17334,False
common,0,0,False,True,all,active-indexed,True,158109,137107,270195,94888,17861,False
common,0,0,False,True,all,active-native-indexed,False,162728,132436,590352,89019,17358,False
common,0,0,False,True,all,active-native-indexed,True,155215,130831,219578,95400,17885,False
common,0,0,False,True,all,active-native-scan,False,151441,133534,300871,81563,16270,False
common,0,0,False,True,all,active-native-scan,True,154333,131880,203171,87944,16797,False
common,0,0,False,True,all,active-scan,False,110077,104595,163591,78203,16038,False
common,0,0,False,True,all,active-scan,True,145351,116431,197908,84584,16565,False
common,0,0,False,True,all,birth,False,94751,84148,144417,79483,17641,False
common,0,0,False,True,all,birth,True,110214,102102,189256,85864,18168,False
common,0,0,False,True,all,birth-miss,False,95204,86767,119144,79455,17649,False
common,0,0,False,True,all,birth-miss,True,116756,105315,167494,85836,18176,False
common,0,0,False,True,all,birth-miss-template,False,119095,112646,162556,95715,20425,False
common,0,0,False,True,all,birth-miss-template,True,143194,127105,197049,102096,20952,False
common,0,0,False,True,all,conditional,False,336697,247086,470496,273432,21786,False
common,0,0,False,True,all,conditional,True,273513,258151,379987,279813,22313,False
common,0,0,False,True,all,indexed,False,130504,115863,282396,96003,17382,False
common,0,0,False,True,all,indexed,True,180234,140330,275915,102384,17909,False
