mode,family,choices,depth,reuse,schedule,requested_bytes,peak_above_start,wall_median_ns,wall_min_ns,wall_max_ns
original-scan,common,0,0,1,eligible,24283,8938,32848,32319,35800
original-scan,common,0,0,1,mixed,23751,8938,32544,18726,60422
original-scan,common,0,0,4,eligible,58552,8938,80172,77263,101253
original-scan,common,0,0,4,mixed,53928,8938,70245,67965,78350
original-scan,common,0,1,1,eligible,27291,9285,29660,25152,189386
original-scan,common,0,1,1,mixed,27231,9285,40049,24672,58580
original-scan,common,0,1,4,eligible,67728,9285,103324,91470,164395
original-scan,common,0,1,4,mixed,58768,9285,78307,55337,82484
original-scan,common,0,16,1,eligible,70323,16806,99006,64007,100314
original-scan,common,0,16,1,mixed,70263,16806,104294,85379,136328
original-scan,common,0,16,4,eligible,204096,16822,245148,195056,347349
original-scan,common,0,16,4,mixed,161734,17385,137338,127429,295633
original-scan,common,3,0,1,eligible,104802,50288,120126,79738,129515
original-scan,common,3,0,1,mixed,104270,50288,141399,121094,161481
original-scan,common,3,0,4,eligible,372522,50288,401003,230024,413610
original-scan,common,3,0,4,mixed,351630,50288,362934,229977,407566
original-scan,common,3,1,1,eligible,117037,52467,148743,87906,158664
original-scan,common,3,1,1,mixed,116977,52467,149704,87872,160767
original-scan,common,3,1,4,eligible,418606,52467,496013,280750,522619
original-scan,common,3,1,4,mixed,352514,52467,295148,237297,386217
original-scan,common,3,16,1,eligible,335090,93976,492518,465235,509978
original-scan,common,3,16,1,mixed,335030,93976,463214,269740,540757
original-scan,common,3,16,4,eligible,1240946,93976,1198295,1032268,1776200
original-scan,common,3,16,4,mixed,880914,93976,701446,650841,1291667
original-scan,independent,0,0,1,eligible,24051,8842,33202,31623,44294
original-scan,independent,0,0,1,mixed,23519,8842,32587,18411,35905
original-scan,independent,0,0,4,eligible,58200,8842,81718,75560,140906
original-scan,independent,0,0,4,mixed,53576,8842,69653,69161,76172
original-scan,independent,0,1,1,eligible,27059,9189,39964,22380,41200
original-scan,independent,0,1,1,mixed,26999,9189,40172,28534,45200
original-scan,independent,0,1,4,eligible,67376,9189,98390,69000,199311
original-scan,independent,0,1,4,mixed,58416,9189,82577,47186,86326
original-scan,independent,0,16,1,eligible,70091,16710,74889,60654,180250
original-scan,independent,0,16,1,mixed,70031,16710,100115,77625,123078
original-scan,independent,0,16,4,eligible,203744,16726,295773,177563,322474
original-scan,independent,0,16,4,mixed,161382,17289,233523,138969,337688
original-scan,independent,3,0,1,eligible,139084,59775,177733,125798,181329
original-scan,independent,3,0,1,mixed,139024,59775,180467,106176,235466
original-scan,independent,3,0,4,eligible,480928,59775,611738,333731,690084
original-scan,independent,3,0,4,mixed,406902,59775,457360,306983,464959
original-scan,independent,3,1,1,eligible,150007,60830,200825,115421,210869
original-scan,independent,3,1,1,mixed,149947,60830,207265,121351,317003
original-scan,independent,3,1,4,eligible,522484,60830,656562,389359,922981
original-scan,independent,3,1,4,mixed,428588,60830,507572,497461,606435
original-scan,independent,3,16,1,eligible,366228,97442,370948,318243,616529
original-scan,independent,3,16,1,mixed,366168,97442,547257,366114,615374
original-scan,independent,3,16,4,eligible,1354296,97442,1785806,1155499,2483743
original-scan,independent,3,16,4,mixed,952252,97442,962712,758251,1292366
original-scan,early,0,0,1,eligible,24283,8938,32844,19461,34336
original-scan,early,0,0,1,mixed,23751,8938,32861,18474,34663
original-scan,early,0,0,4,eligible,58552,8938,47445,44217,72232
original-scan,early,0,0,4,mixed,53928,8938,72343,41472,91379
original-scan,early,0,1,1,eligible,27291,9285,40557,25084,42141
original-scan,early,0,1,1,mixed,27231,9285,40868,26663,45295
original-scan,early,0,1,4,eligible,67728,9285,102653,55805,113667
original-scan,early,0,1,4,mixed,58768,9285,86782,81337,97953
original-scan,early,0,16,1,eligible,70323,16806,101280,98662,117854
original-scan,early,0,16,1,mixed,70263,16806,102228,101666,108475
original-scan,early,0,16,4,eligible,204096,16822,314694,307633,328343
original-scan,early,0,16,4,mixed,161734,17385,157243,134449,233660
original-scan,early,3,0,1,eligible,65148,27503,89208,63708,90561
original-scan,early,3,0,1,mixed,64616,27503,82908,49781,83857
original-scan,early,3,0,4,eligible,213912,27503,238035,149594,264937
original-scan,early,3,0,4,mixed,202092,27503,216444,179338,241493
original-scan,early,3,1,1,eligible,72078,28642,115175,97096,138839
original-scan,early,3,1,1,mixed,72018,28642,107074,69569,114878
original-scan,early,3,1,4,eligible,238776,28642,222529,163923,328251
original-scan,early,3,1,4,mixed,205180,28642,241254,171612,351191
original-scan,early,3,16,1,eligible,194500,50519,265300,263403,285739
original-scan,early,3,16,1,mixed,194440,50519,185049,160703,280707
original-scan,early,3,16,4,eligible,686656,50519,735238,591129,1018149
original-scan,early,3,16,4,mixed,506648,50519,652022,400564,729259
original-indexed,common,0,0,1,eligible,27938,11026,41881,38258,47758
original-indexed,common,0,0,1,mixed,26670,11026,38177,37317,51168
original-indexed,common,0,0,4,eligible,70964,11026,89285,47267,97223
original-indexed,common,0,0,4,mixed,65508,11026,84598,54954,93754
original-indexed,common,0,1,1,eligible,31466,11373,43591,42848,62101
original-indexed,common,0,1,1,mixed,31406,11373,44287,43314,102067
original-indexed,common,0,1,4,eligible,82220,11373,115080,64719,152176
original-indexed,common,0,1,4,mixed,71802,11373,92799,52061,115928
original-indexed,common,0,16,1,eligible,86362,21294,126850,122700,141317
original-indexed,common,0,16,1,mixed,86302,21294,125383,76545,133445
original-indexed,common,0,16,4,eligible,264572,21294,391339,239917,495855
original-indexed,common,0,16,4,mixed,201824,21294,274085,163212,314646
original-indexed,common,3,0,1,eligible,126033,64445,146179,137067,209110
original-indexed,common,3,0,1,mixed,124765,64445,104373,80206,176328
original-indexed,common,3,0,4,eligible,455238,64445,477633,393779,533077
original-indexed,common,3,0,4,mixed,433066,64445,416997,247541,550467
original-indexed,common,3,1,1,eligible,142428,66881,201306,121726,233436
original-indexed,common,3,1,1,mixed,142368,66881,184638,173566,201582
original-indexed,common,3,1,4,eligible,517962,66881,586536,390260,610981
original-indexed,common,3,1,4,mixed,440430,66881,439915,308015,555086
original-indexed,common,3,16,1,eligible,455393,124877,342435,337335,582085
original-indexed,common,3,16,1,mixed,455333,124877,645314,582624,855228
original-indexed,common,3,16,4,eligible,1708174,124877,1485127,1358827,2449232
original-indexed,common,3,16,4,mixed,1185278,124877,945206,844987,1381582
original-indexed,independent,0,0,1,eligible,27706,10930,35620,34967,54221
original-indexed,independent,0,0,1,mixed,26438,10930,35268,23438,62822
original-indexed,independent,0,0,4,eligible,70612,10930,89432,87282,97746
original-indexed,independent,0,0,4,mixed,65156,10930,50825,44656,83561
original-indexed,independent,0,1,1,eligible,31234,11277,43139,28344,55667
original-indexed,independent,0,1,1,mixed,31174,11277,42892,26717,43259
original-indexed,independent,0,1,4,eligible,81868,11277,116404,65438,211520
original-indexed,independent,0,1,4,mixed,71450,11277,94415,61275,139393
original-indexed,independent,0,16,1,eligible,86130,21198,123869,92705,133280
original-indexed,independent,0,16,1,mixed,86070,21198,130861,88736,132049
original-indexed,independent,0,16,4,eligible,264220,21198,394321,223537,510680
original-indexed,independent,0,16,4,mixed,201472,21198,195849,167881,270725
original-indexed,independent,3,0,1,eligible,166555,75922,202319,158106,212606
original-indexed,independent,3,0,1,mixed,166495,75922,200812,128572,258565
original-indexed,independent,3,0,4,eligible,588604,75922,687953,405593,880945
original-indexed,independent,3,0,4,mixed,499300,75922,530700,333099,833792
original-indexed,independent,3,1,1,eligible,181638,77278,234557,163224,239345
original-indexed,independent,3,1,1,mixed,181578,77278,234259,140704,239215
original-indexed,independent,3,1,4,eligible,646800,77278,791388,476664,938085
original-indexed,independent,3,1,4,mixed,528984,77278,632556,343752,731822
original-indexed,independent,3,16,1,eligible,492771,132194,681369,396899,758654
original-indexed,independent,3,16,1,mixed,492711,132194,713130,668165,776782
original-indexed,independent,3,16,4,eligible,1858260,132322,1834874,1500504,2131119
original-indexed,independent,3,16,4,mixed,1280872,132194,1001393,943562,1112095
original-indexed,early,0,0,1,eligible,27938,11026,33467,23170,38883
original-indexed,early,0,0,1,mixed,26670,11026,38508,21725,55323
original-indexed,early,0,0,4,eligible,70964,11026,94235,53112,96709
original-indexed,early,0,0,4,mixed,65508,11026,81641,46734,87398
original-indexed,early,0,1,1,eligible,31466,11373,43526,42224,50471
original-indexed,early,0,1,1,mixed,31406,11373,45715,31797,56782
original-indexed,early,0,1,4,eligible,82220,11373,114047,66635,148238
original-indexed,early,0,1,4,mixed,71802,11373,93671,51853,100910
original-indexed,early,0,16,1,eligible,86362,21294,124363,94504,155566
original-indexed,early,0,16,1,mixed,86302,21294,127941,75787,136455
original-indexed,early,0,16,4,eligible,264572,21294,387611,269970,412756
original-indexed,early,0,16,4,mixed,201824,21294,282373,272443,430921
original-indexed,early,3,0,1,eligible,77475,34736,93403,59795,100690
original-indexed,early,3,0,1,mixed,76207,34736,92568,59306,98889
original-indexed,early,3,0,4,eligible,261012,34736,276680,187104,295853
original-indexed,early,3,0,4,mixed,246696,34736,292757,185236,335392
original-indexed,early,3,1,1,eligible,86485,36040,111296,108959,116310
original-indexed,early,3,1,1,mixed,86425,36040,109475,80533,119909
original-indexed,early,3,1,4,eligible,294196,36040,350690,244201,360505
original-indexed,early,3,1,4,mixed,254864,36040,276447,187517,287874
original-indexed,early,3,16,1,eligible,258027,66528,337062,300783,373850
original-indexed,early,3,16,1,mixed,257967,66528,226518,206367,351822
original-indexed,early,3,16,4,eligible,932668,66528,1084367,765589,1729193
original-indexed,early,3,16,4,mixed,671212,66528,968192,515247,1160230
original-special,common,0,0,1,eligible,26547,9328,36761,20355,39459
original-special,common,0,0,1,mixed,26015,9328,25800,21747,49746
original-special,common,0,0,4,eligible,59856,9328,80561,78570,87013
original-special,common,0,0,4,mixed,55232,9328,72182,44351,91226
original-special,common,0,1,1,eligible,29555,9675,45916,23481,78062
original-special,common,0,1,1,mixed,29495,9675,46040,26448,48508
original-special,common,0,1,4,eligible,69032,9675,95914,94596,98508
original-special,common,0,1,4,mixed,59336,9675,83453,80605,94006
original-special,common,0,16,1,eligible,72219,17196,100807,60527,102058
original-special,common,0,16,1,mixed,72159,17196,110130,103106,112362
original-special,common,0,16,4,eligible,203928,17212,306671,178129,451336
original-special,common,0,16,4,mixed,161566,17407,229710,225402,240015
original-special,common,3,0,1,eligible,107010,50846,125377,81263,138062
original-special,common,3,0,1,mixed,106478,50846,135883,131792,213116
original-special,common,3,0,4,eligible,372258,50846,392411,280763,425063
original-special,common,3,0,4,mixed,351366,50846,357218,209451,437014
original-special,common,3,1,1,eligible,119245,53025,177616,149663,184378
original-special,common,3,1,1,mixed,119185,53025,156681,152119,269185
original-special,common,3,1,4,eligible,418342,53025,344891,287681,514109
original-special,common,3,1,4,mixed,346362,53025,376011,261429,378890
original-special,common,3,16,1,eligible,334354,91590,478295,458346,711210
original-special,common,3,16,1,mixed,334294,91590,468446,277267,477657
original-special,common,3,16,4,eligible,1228906,91590,1762299,1109659,2375960
original-special,common,3,16,4,mixed,868874,91590,807272,675993,1232192
original-special,independent,0,0,1,eligible,26315,9232,34554,33873,58600
original-special,independent,0,0,1,mixed,25783,9232,35226,23790,37209
original-special,independent,0,0,4,eligible,59504,9232,81953,43990,87395
original-special,independent,0,0,4,mixed,54880,9232,74325,71390,74947
original-special,independent,0,1,1,eligible,29323,9579,45928,41003,54905
original-special,independent,0,1,1,mixed,29263,9579,42251,23893,43620
original-special,independent,0,1,4,eligible,68680,9579,55720,50850,104976
original-special,independent,0,1,4,mixed,58984,9579,84983,79643,103290
original-special,independent,0,16,1,eligible,71987,17100,105469,100634,114101
original-special,independent,0,16,1,mixed,71927,17100,102076,63088,132403
original-special,independent,0,16,4,eligible,203576,17116,300414,285202,327622
original-special,independent,0,16,4,mixed,161214,17311,238944,219368,240491
original-special,independent,3,0,1,eligible,141292,60333,176463,115091,178078
original-special,independent,3,0,1,mixed,141232,60333,179176,158385,276176
original-special,independent,3,0,4,eligible,480664,60333,370321,351800,591581
original-special,independent,3,0,4,mixed,401486,60333,420780,258538,470974
original-special,independent,3,1,1,eligible,152215,61388,200833,117327,202704
original-special,independent,3,1,1,mixed,152155,61388,196438,115118,198198
original-special,independent,3,1,4,eligible,522220,61388,446268,383724,823308
original-special,independent,3,1,4,mixed,422436,61388,337982,298779,558164
original-special,independent,3,16,1,eligible,368068,98000,556739,399062,657831
original-special,independent,3,16,1,mixed,368008,98000,546310,334618,607364
original-special,independent,3,16,4,eligible,1352560,98000,1258070,1138402,1981069
original-special,independent,3,16,4,mixed,945364,98000,818840,785175,1365340
original-special,early,0,0,1,eligible,26547,9328,34622,21921,35279
original-special,early,0,0,1,mixed,26015,9328,34989,34796,38190
original-special,early,0,0,4,eligible,59856,9328,78674,54226,92678
original-special,early,0,0,4,mixed,55232,9328,80299,69022,95093
original-special,early,0,1,1,eligible,29555,9675,44614,41597,51020
original-special,early,0,1,1,mixed,29495,9675,43119,30718,64362
original-special,early,0,1,4,eligible,69032,9675,92145,60014,98352
original-special,early,0,1,4,mixed,59336,9675,82988,68055,103258
original-special,early,0,16,1,eligible,72219,17196,102399,60875,115963
original-special,early,0,16,1,mixed,72159,17196,106034,79472,111827
original-special,early,0,16,4,eligible,203928,17212,312925,300469,1358388
original-special,early,0,16,4,mixed,161566,17407,232019,225082,338107
original-special,early,3,0,1,eligible,67636,28093,85177,59655,128978
original-special,early,3,0,1,mixed,67104,28093,85489,49062,100056
original-special,early,3,0,4,eligible,214768,28093,271164,233318,316835
original-special,early,3,0,4,mixed,202212,28093,214990,125793,218429
original-special,early,3,1,1,eligible,74566,29232,99247,97399,117386
original-special,early,3,1,1,mixed,74506,29232,97504,61548,99864
original-special,early,3,1,4,eligible,239632,29232,287710,170827,333847
original-special,early,3,1,4,mixed,202356,29232,233648,184640,248231
original-special,early,3,16,1,eligible,195516,49637,276429,269780,368268
original-special,early,3,16,1,mixed,195456,49637,317007,283862,374629
original-special,early,3,16,4,eligible,681624,49637,959008,641882,990210
original-special,early,3,16,4,mixed,500880,49637,655451,386858,798912
original-contextual,common,0,0,1,eligible,20494,7141,18010,12625,21536
original-contextual,common,0,0,1,mixed,21549,7141,21351,19100,30231
original-contextual,common,0,0,4,eligible,61624,7141,39903,26021,45294
original-contextual,common,0,0,4,mixed,54669,7141,44135,24680,51166
original-contextual,common,0,1,1,eligible,25100,7347,21702,21165,25463
original-contextual,common,0,1,1,mixed,26155,7347,22678,16008,25033
original-contextual,common,0,1,4,eligible,77618,7347,57328,55246,75124
original-contextual,common,0,1,4,mixed,56873,7347,49144,46203,58408
original-contextual,common,0,16,1,eligible,158622,17355,99304,77922,128146
original-contextual,common,0,16,1,mixed,159485,17355,99900,66087,108517
original-contextual,common,0,16,4,eligible,593736,17355,269459,195248,318461
original-contextual,common,0,16,4,mixed,333751,17355,201369,133954,228424
original-contextual,common,3,0,1,eligible,105088,29005,75861,45127,78123
original-contextual,common,3,0,1,mixed,108309,29005,76970,74045,86565
original-contextual,common,3,0,4,eligible,394522,29005,257219,253200,261625
original-contextual,common,3,0,4,mixed,338299,29005,247181,244161,267340
original-contextual,common,3,1,1,eligible,132900,29211,88110,85802,112702
original-contextual,common,3,1,1,mixed,136121,29211,71579,55262,213169
original-contextual,common,3,1,4,eligible,504492,29211,309046,290754,376170
original-contextual,common,3,1,4,mixed,345629,29211,244332,148300,431885
original-contextual,common,3,16,1,eligible,1127168,71132,536523,355634,583173
original-contextual,common,3,16,1,mixed,1129429,71132,363211,355443,570426
original-contextual,common,3,16,4,eligible,4456874,72476,2145033,1362647,2442494
original-contextual,common,3,16,4,mixed,2381595,71132,1255864,791987,1275149
original-contextual,independent,0,0,1,eligible,20350,7045,19320,18952,31851
original-contextual,independent,0,0,1,mixed,21357,7045,19759,11088,25486
original-contextual,independent,0,0,4,eligible,61336,7045,44627,25609,46193
original-contextual,independent,0,0,4,mixed,54333,7045,44972,44739,47106
original-contextual,independent,0,1,1,eligible,24956,7251,14166,13289,29049
original-contextual,independent,0,1,1,mixed,25963,7251,25322,24439,25845
original-contextual,independent,0,1,4,eligible,77330,7251,56589,31584,57398
original-contextual,independent,0,1,4,mixed,56537,7251,46854,28433,51214
original-contextual,independent,0,16,1,eligible,158478,17259,99206,98428,108250
original-contextual,independent,0,16,1,mixed,159293,17259,106974,64493,109285
original-contextual,independent,0,16,4,eligible,593448,17259,307543,235462,345254
original-contextual,independent,0,16,4,mixed,333415,17259,208328,148235,234624
original-contextual,independent,3,0,1,eligible,163109,38399,114007,112389,120228
original-contextual,independent,3,0,1,mixed,172819,38399,122555,77544,141266
original-contextual,independent,3,0,4,eligible,612011,38399,390671,247928,415593
original-contextual,independent,3,0,4,mixed,427483,38399,360194,202212,410903
original-contextual,independent,3,1,1,eligible,200809,41347,128928,85552,230194
original-contextual,independent,3,1,1,mixed,210519,41347,142727,85078,199717
original-contextual,independent,3,1,4,eligible,762253,41347,484453,378144,508425
original-contextual,independent,3,1,4,mixed,499575,41347,227875,227437,308087
original-contextual,independent,3,16,1,eligible,1459461,84321,752997,497766,920015
original-contextual,independent,3,16,1,mixed,1466867,84321,487116,478119,768739
original-contextual,independent,3,16,4,eligible,5779563,85665,2243093,1869958,2705841
original-contextual,independent,3,16,4,mixed,3063061,84321,1265754,1065385,1770488
original-contextual,early,0,0,1,eligible,20494,7141,12429,10894,17045
original-contextual,early,0,0,1,mixed,21549,7141,19356,18739,21983
original-contextual,early,0,0,4,eligible,61624,7141,44441,26472,48031
original-contextual,early,0,0,4,mixed,54669,7141,42911,24778,44460
original-contextual,early,0,1,1,eligible,25100,7347,22122,13168,24032
original-contextual,early,0,1,1,mixed,26155,7347,23287,13643,25497
original-contextual,early,0,1,4,eligible,77618,7347,56609,55430,71556
original-contextual,early,0,1,4,mixed,56873,7347,69014,26913,129150
original-contextual,early,0,16,1,eligible,158622,17355,103807,76212,131210
original-contextual,early,0,16,1,mixed,159485,17355,99592,65889,126764
original-contextual,early,0,16,4,eligible,593736,17355,310869,198096,328512
original-contextual,early,0,16,4,mixed,333751,17355,203660,199010,212736
original-contextual,early,3,0,1,eligible,62594,18219,46368,31819,50043
original-contextual,early,3,0,1,mixed,65814,18219,48952,34254,76497
original-contextual,early,3,0,4,eligible,224549,18219,141634,87040,149812
original-contextual,early,3,0,4,mixed,195565,18219,143107,100019,237661
original-contextual,early,3,1,1,eligible,76926,18425,57711,42074,83160
original-contextual,early,3,1,1,mixed,80146,18425,63377,59685,67027
original-contextual,early,3,1,4,eligible,280599,18425,175079,107292,290365
original-contextual,early,3,1,4,mixed,198759,18425,139022,94949,182165
original-contextual,early,3,16,1,eligible,579778,41698,270305,197901,405928
original-contextual,early,3,16,1,mixed,582038,41698,314452,196631,317812
original-contextual,early,3,16,4,eligible,2271157,42274,1152955,731492,1213952
original-contextual,early,3,16,4,mixed,1229093,41698,677284,423878,721269
original-demand,common,0,0,1,eligible,21678,6861,19521,10731,23507
original-demand,common,0,0,1,mixed,24349,6861,19318,11712,24046
original-demand,common,0,0,4,eligible,68352,6861,32374,26492,70011
original-demand,common,0,0,4,mixed,64213,6861,45162,31260,54008
original-demand,common,0,1,1,eligible,26860,7285,23848,15710,26331
original-demand,common,0,1,1,mixed,29531,7285,24240,17350,34388
original-demand,common,0,1,4,eligible,86650,7285,60570,60079,68874
original-demand,common,0,1,4,mixed,67329,7285,51403,49610,59071
original-demand,common,0,16,1,eligible,97870,11683,58995,38975,94130
original-demand,common,0,16,1,mixed,100349,11683,62266,38877,67001
original-demand,common,0,16,4,eligible,352720,11683,199312,194139,206378
original-demand,common,0,16,4,mixed,219183,12255,134383,85981,143248
original-demand,common,3,0,1,eligible,104384,28933,71541,50387,75667
original-demand,common,3,0,1,mixed,109221,28933,73261,45691,79301
original-demand,common,3,0,4,eligible,393698,28933,256344,245047,427128
original-demand,common,3,0,4,mixed,364243,28933,239462,173370,277491
original-demand,common,3,1,1,eligible,136804,29139,82649,52759,93107
original-demand,common,3,1,1,mixed,141641,29139,88779,53206,89914
