mode,family,n,reuse,consumer,requested_bytes,peak_above_start,consumer_retained_bytes,wall_median_ns,wall_min_ns,wall_max_ns
scan,independent,0,1,query,24615,9770,0,29118,18526,29398
scan,independent,0,1,prepared,24615,9770,151,29437,23128,68041
scan,independent,0,4,query,42150,9770,0,45497,29098,49078
scan,independent,0,4,prepared,42150,10223,604,47487,27148,54135
scan,independent,1,1,query,51972,19829,0,72842,44383,103762
scan,independent,1,1,prepared,51972,19829,2132,73600,44903,76165
scan,independent,1,4,query,140055,20043,0,181472,178156,189848
scan,independent,1,4,prepared,140055,26439,8528,179164,175895,194384
scan,independent,3,1,query,216084,81893,0,311570,295377,321743
scan,independent,3,1,prepared,216084,81893,22016,309260,305758,429249
scan,independent,3,4,query,776529,81893,0,768964,645610,889959
scan,independent,3,4,prepared,776529,147477,88064,837197,634547,1113184
scan,shared,0,1,query,24615,9770,0,29757,29126,31220
scan,shared,0,1,prepared,24615,9770,151,34076,29320,35694
scan,shared,0,4,query,42150,9770,0,50877,32462,66718
scan,shared,0,4,prepared,42150,10223,604,48389,47013,50510
scan,shared,1,1,query,51972,19829,0,54742,44763,88115
scan,shared,1,1,prepared,51972,19829,2132,76597,75274,114387
scan,shared,1,4,query,140055,20043,0,178946,177053,193288
scan,shared,1,4,prepared,140055,26439,8528,177661,105619,196879
scan,shared,3,1,query,129186,35213,0,173778,108540,178284
scan,shared,3,1,prepared,129186,35213,5600,174941,123672,187597
scan,shared,3,4,query,428937,40364,0,547344,327206,551058
scan,shared,3,4,prepared,428937,57164,22400,569551,400769,574466
scan,delayed,0,1,query,25015,9962,0,27876,27496,30786
scan,delayed,0,1,prepared,25015,9962,151,28563,27389,35473
scan,delayed,0,4,query,42550,9962,0,45349,44535,50098
scan,delayed,0,4,prepared,42550,10415,604,46339,45421,46962
scan,delayed,1,1,query,57252,20245,0,84703,82515,90341
scan,delayed,1,1,prepared,57252,20245,2132,91527,82615,98635
scan,delayed,1,4,query,159975,20459,0,233765,146741,246414
scan,delayed,1,4,prepared,159975,26855,8528,225890,211295,230948
scan,delayed,3,1,query,271188,89765,0,394174,273453,417299
scan,delayed,3,1,prepared,271188,89765,22016,398857,256617,404257
scan,delayed,3,4,query,995745,89765,0,1017197,959627,1446617
scan,delayed,3,4,prepared,995745,155349,88064,874379,838264,1546429
scan,early,0,1,query,23931,9433,0,29295,28032,37289
scan,early,0,1,prepared,23931,9433,151,34248,28832,48464
scan,early,0,4,query,41466,9433,0,43728,43176,46618
scan,early,0,4,prepared,41466,9886,604,45887,44332,53375
scan,early,1,1,query,45405,17236,0,66053,45882,69257
scan,early,1,1,prepared,45405,17236,1018,70943,63526,83342
scan,early,1,4,query,116431,17236,0,145423,138528,151312
scan,early,1,4,prepared,116431,20290,4072,146300,83067,149849
scan,early,3,1,query,89304,24608,0,131066,126637,189031
scan,early,3,1,prepared,89304,24608,2752,133883,128818,155392
scan,early,3,4,query,273237,24608,0,362246,345887,408644
