variant,form,family,choices,depth,reuse,schedule,requested_bytes,peak_above_start,wall_median_ns,wall_min_ns,wall_max_ns
existing,original,common,0,0,1,eligible,55207,11907,65660,64819,73609
existing,original,common,0,0,1,mixed,53925,11907,64572,39395,69551
existing,original,common,0,0,4,eligible,190561,11907,203188,132098,219454
existing,original,common,0,0,4,mixed,161645,11907,191366,182907,199067
existing,original,common,0,16,1,eligible,596890,48130,655283,374170,706978
existing,original,common,0,16,1,mixed,595608,48130,640995,372620,649946
existing,original,common,0,16,4,eligible,2306413,48130,1512573,1395192,2849626
existing,original,common,0,16,4,mixed,1269629,48130,806492,779264,1531662
existing,original,common,3,0,1,eligible,117995,20656,158048,156587,168330
existing,original,common,3,0,1,mixed,116713,20656,159595,156621,186312
existing,original,common,3,0,4,eligible,434147,20656,538497,326001,581174
existing,original,common,3,0,4,mixed,405091,20656,511995,494075,540247
existing,original,common,3,16,1,eligible,658526,54964,758414,440733,843778
existing,original,common,3,16,1,mixed,657244,54964,785610,510282,902659
existing,original,common,3,16,4,eligible,2546543,54964,2161092,1716172,3024808
existing,original,common,3,16,4,mixed,1644013,54964,1228738,1136519,1923715
existing,original,independent,0,0,1,eligible,54671,11811,67966,67526,334652
existing,original,independent,0,0,1,mixed,53389,11811,67931,43818,84964
existing,original,independent,0,0,4,eligible,188705,11811,196619,104975,234494
existing,original,independent,0,0,4,mixed,159789,11811,174021,172453,177829
existing,original,independent,0,16,1,eligible,596354,48034,648901,559679,678809
existing,original,independent,0,16,1,mixed,595072,48034,666957,423976,1128207
existing,original,independent,0,16,4,eligible,2304557,48034,1648647,1519104,2481238
existing,original,independent,0,16,4,mixed,1267773,48034,1412862,928523,1481338
existing,original,independent,3,0,1,eligible,631202,49443,616523,546722,938498
existing,original,independent,3,0,1,mixed,629920,49443,888608,536225,1000347
existing,original,independent,3,0,4,eligible,2468552,49443,2110543,1966193,3317259
existing,original,independent,3,0,4,mixed,1701622,49443,1604119,1429778,2466491
existing,original,independent,3,16,1,eligible,5524298,323486,3894920,3858302,4959551
existing,original,independent,3,16,1,mixed,5523016,323486,3867037,3767173,4368353
existing,original,independent,3,16,4,eligible,21994808,323486,17248757,15704777,18072683
existing,original,independent,3,16,4,mixed,11621264,323486,8589935,8087289,8778834
existing,original,early,0,0,1,eligible,55207,11907,64978,41993,65383
existing,original,early,0,0,1,mixed,53925,11907,64736,64383,92418
existing,original,early,0,0,4,eligible,190561,11907,205412,111360,222410
existing,original,early,0,0,4,mixed,161645,11907,186266,176318,189127
existing,original,early,0,16,1,eligible,596890,48130,654462,368492,716551
existing,original,early,0,16,1,mixed,595608,48130,663035,385639,669250
existing,original,early,0,16,4,eligible,2306413,48130,1714758,1373986,2416259
existing,original,early,0,16,4,mixed,1269629,48130,1368650,781079,1424313
existing,original,early,3,0,1,eligible,107732,17995,137122,81906,144682
existing,original,early,3,0,1,mixed,106450,17995,142879,137013,193403
existing,original,early,3,0,4,eligible,393098,17995,284429,265474,482733
existing,original,early,3,0,4,mixed,364122,17995,421164,247958,544437
existing,original,early,3,16,1,eligible,746247,52303,571281,476986,853951
existing,original,early,3,16,1,mixed,744965,52303,888693,489668,967584
existing,original,early,3,16,4,eligible,2897430,52303,2230054,1928643,3524077
existing,original,early,3,16,4,mixed,1719436,52303,1236343,1152889,2062346
existing,counted,common,0,0,1,eligible,59239,12862,73149,48521,134477
existing,counted,common,0,0,1,mixed,56902,12862,83024,73115,92638
existing,counted,common,0,0,4,eligible,197899,12862,218549,212667,233010
existing,counted,common,0,0,4,mixed,165818,12862,185792,101965,192318
existing,counted,common,0,16,1,eligible,67815,15246,88930,54703,89620
existing,counted,common,0,16,1,mixed,78214,17254,95299,93984,101873
existing,counted,common,0,16,4,eligible,219339,15246,175078,139479,262247
existing,counted,common,0,16,4,mixed,233124,24330,263392,151488,366468
existing,counted,common,3,0,1,eligible,123599,22001,165496,102618,177345
existing,counted,common,3,0,1,mixed,121016,22001,172729,120401,274500
existing,counted,common,3,0,4,eligible,443795,22001,570660,562774,588626
existing,counted,common,3,0,4,mixed,410836,22001,543543,522321,613441
existing,counted,common,3,16,1,eligible,132175,24385,190028,183563,194235
existing,counted,common,3,16,1,mixed,141944,24385,187454,184834,202418
existing,counted,common,3,16,4,eligible,465235,24385,353183,351092,363975
existing,counted,common,3,16,4,mixed,610616,47839,758526,524054,994550
existing,counted,independent,0,0,1,eligible,58495,12766,84560,74025,95360
existing,counted,independent,0,0,1,mixed,56158,12766,72922,53773,81044
existing,counted,independent,0,0,4,eligible,195835,12766,210937,115655,413066
existing,counted,independent,0,0,4,mixed,163754,12766,187077,182568,199323
existing,counted,independent,0,16,1,eligible,67071,15150,88823,64073,92954
existing,counted,independent,0,16,1,mixed,77470,17158,119873,64498,154375
existing,counted,independent,0,16,4,eligible,217275,15150,149301,135475,270827
existing,counted,independent,0,16,4,mixed,231060,24234,287387,152421,321627
existing,counted,independent,3,0,1,eligible,643149,50944,653481,549159,947524
existing,counted,independent,3,0,1,mixed,640398,50944,906745,585412,1012646
existing,counted,independent,3,0,4,eligible,2485083,50944,2075286,1911449,2703315
existing,counted,independent,3,0,4,mixed,1713746,50944,2338340,1423418,2471839
existing,counted,independent,3,16,1,eligible,651437,53328,646865,539697,929342
existing,counted,independent,3,16,1,mixed,659982,53328,571373,526297,920500
existing,counted,independent,3,16,4,eligible,2505803,53328,2308006,2081408,2383444
existing,counted,independent,3,16,4,mixed,1886428,58999,1673393,1631285,1830392
existing,counted,early,0,0,1,eligible,59239,12862,78674,72329,86008
existing,counted,early,0,0,1,mixed,56902,12862,73285,43631,73744
existing,counted,early,0,0,4,eligible,197899,12862,214207,141944,229527
existing,counted,early,0,0,4,mixed,165818,12862,207025,183600,226847
existing,counted,early,0,16,1,eligible,67815,15246,91612,68971,134640
existing,counted,early,0,16,1,mixed,78214,17254,94262,57433,127075
existing,counted,early,0,16,4,eligible,219339,15246,262652,168666,462602
existing,counted,early,0,16,4,mixed,233124,24330,260496,153750,267955
existing,counted,early,3,0,1,eligible,113232,19340,153196,141691,161548
existing,counted,early,3,0,1,mixed,110649,19340,144209,101729,150568
existing,counted,early,3,0,4,eligible,402642,19340,472758,276674,596692
existing,counted,early,3,0,4,mixed,369763,19340,446501,426049,464282
existing,counted,early,3,16,1,eligible,121808,21724,159816,157921,163209
existing,counted,early,3,16,1,mixed,131577,21724,168457,104757,272733
existing,counted,early,3,16,4,eligible,424082,21724,296431,291363,497596
existing,counted,early,3,16,4,mixed,489967,36662,560906,399850,587889
filtered,original,common,0,0,1,eligible,54532,12067,66663,65431,67592
filtered,original,common,0,0,1,mixed,54384,12067,66784,65946,73386
filtered,original,common,0,0,4,eligible,190783,12067,205852,114844,209124
filtered,original,common,0,0,4,mixed,162777,12067,177088,96575,229040
filtered,original,common,0,16,1,eligible,393972,35367,453484,447716,504622
filtered,original,common,0,16,1,mixed,393824,35367,491908,454906,519074
filtered,original,common,0,16,4,eligible,1490943,35367,1678891,929373,2094005
filtered,original,common,0,16,4,mixed,862991,35367,988092,554967,1070784
filtered,original,common,3,0,1,eligible,117320,20816,160856,159933,289282
filtered,original,common,3,0,1,mixed,117172,20816,157328,116192,172021
filtered,original,common,3,0,4,eligible,434369,20816,553142,369999,601216
